,0,1,2,3,4,Team0,Team1,Team2,Team3,Team4,keep,team1_team2_count,game_index,Points0,Points1,Points2,Points3,Points4,adj_mvp_score,adj_total_score,mvp_player,player0,player1,player2,player3,player4
0,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,LV,KC,LV,KC,KC,Yes,3:2,0,14.0,15.0,30.3,33.4,33.5,50.25,142.95,player4,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
1,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,LV,KC,LV,KC,KC,Yes,3:2,0,14.0,15.0,30.3,33.4,33.5,50.099999999999994,142.89999999999998,player3,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
2,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,LV,KC,LV,KC,KC,Yes,3:2,0,14.0,15.0,30.3,33.4,33.5,45.45,141.35,player2,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
3,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,LV,KC,LV,KC,KC,Yes,3:2,0,14.0,15.0,30.3,33.4,33.5,22.5,133.7,player1,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
4,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,LV,KC,LV,KC,KC,Yes,3:2,0,14.0,15.0,30.3,33.4,33.5,21.0,133.2,player0,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
5,12.0 81580-71352:Mecole Hardman,15.0 81580-40647:Marquez Valdes-Scantling,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,KC,LV,KC,KC,Yes,4:1,0,12.0,15.0,30.3,33.4,33.5,50.25,140.95,player4,81580-71352:Mecole Hardman,81580-40647:Marquez Valdes-Scantling,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
6,12.0 81580-71352:Mecole Hardman,15.0 81580-40647:Marquez Valdes-Scantling,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,KC,LV,KC,KC,Yes,4:1,0,12.0,15.0,30.3,33.4,33.5,50.099999999999994,140.89999999999998,player3,81580-71352:Mecole Hardman,81580-40647:Marquez Valdes-Scantling,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
7,12.0 81580-71352:Mecole Hardman,15.0 81580-40647:Marquez Valdes-Scantling,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,KC,LV,KC,KC,Yes,4:1,0,12.0,15.0,30.3,33.4,33.5,45.45,139.35,player2,81580-71352:Mecole Hardman,81580-40647:Marquez Valdes-Scantling,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
8,12.0 81580-71352:Mecole Hardman,15.0 81580-40647:Marquez Valdes-Scantling,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,KC,LV,KC,KC,Yes,4:1,0,12.0,15.0,30.3,33.4,33.5,22.5,131.7,player1,81580-71352:Mecole Hardman,81580-40647:Marquez Valdes-Scantling,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
9,12.0 81580-71352:Mecole Hardman,15.0 81580-40647:Marquez Valdes-Scantling,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,KC,LV,KC,KC,Yes,4:1,0,12.0,15.0,30.3,33.4,33.5,18.0,130.2,player0,81580-71352:Mecole Hardman,81580-40647:Marquez Valdes-Scantling,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
10,12.0 81580-71352:Mecole Hardman,14.0 81580-40856:Daniel Carlson,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,LV,LV,KC,KC,Yes,3:2,0,12.0,14.0,30.3,33.4,33.5,50.25,139.95,player4,81580-71352:Mecole Hardman,81580-40856:Daniel Carlson,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
11,12.0 81580-71352:Mecole Hardman,14.0 81580-40856:Daniel Carlson,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,LV,LV,KC,KC,Yes,3:2,0,12.0,14.0,30.3,33.4,33.5,50.099999999999994,139.89999999999998,player3,81580-71352:Mecole Hardman,81580-40856:Daniel Carlson,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
12,12.0 81580-71352:Mecole Hardman,14.0 81580-40856:Daniel Carlson,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,LV,LV,KC,KC,Yes,3:2,0,12.0,14.0,30.3,33.4,33.5,45.45,138.35,player2,81580-71352:Mecole Hardman,81580-40856:Daniel Carlson,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
13,12.0 81580-71352:Mecole Hardman,14.0 81580-40856:Daniel Carlson,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,LV,LV,KC,KC,Yes,3:2,0,12.0,14.0,30.3,33.4,33.5,21.0,130.2,player1,81580-71352:Mecole Hardman,81580-40856:Daniel Carlson,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
14,12.0 81580-71352:Mecole Hardman,14.0 81580-40856:Daniel Carlson,30.3 81580-72731:Josh Jacobs,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,LV,LV,KC,KC,Yes,3:2,0,12.0,14.0,30.3,33.4,33.5,18.0,129.2,player0,81580-71352:Mecole Hardman,81580-40856:Daniel Carlson,81580-72731:Josh Jacobs,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
15,12.0 81580-71352:Mecole Hardman,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,LV,KC,KC,KC,Yes,4:1,0,12.0,14.0,15.0,33.4,33.5,50.25,124.65,player4,81580-71352:Mecole Hardman,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
16,12.0 81580-71352:Mecole Hardman,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,LV,KC,KC,KC,Yes,4:1,0,12.0,14.0,15.0,33.4,33.5,50.099999999999994,124.6,player3,81580-71352:Mecole Hardman,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
17,12.0 81580-71352:Mecole Hardman,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,LV,KC,KC,KC,Yes,4:1,0,12.0,14.0,15.0,33.4,33.5,22.5,115.4,player2,81580-71352:Mecole Hardman,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
18,12.0 81580-71352:Mecole Hardman,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,LV,KC,KC,KC,Yes,4:1,0,12.0,14.0,15.0,33.4,33.5,21.0,114.9,player1,81580-71352:Mecole Hardman,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
19,12.0 81580-71352:Mecole Hardman,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,33.4 81580-57439:Patrick Mahomes,33.5 81580-33076:Travis Kelce,KC,LV,KC,KC,KC,Yes,4:1,0,12.0,14.0,15.0,33.4,33.5,18.0,113.9,player0,81580-71352:Mecole Hardman,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-57439:Patrick Mahomes,81580-33076:Travis Kelce
20,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,27.4 81580-45889:Davante Adams,30.3 81580-72731:Josh Jacobs,33.5 81580-33076:Travis Kelce,LV,KC,LV,LV,KC,Yes,2:3,0,14.0,15.0,27.4,30.3,33.5,50.25,136.95000000000002,player4,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-45889:Davante Adams,81580-72731:Josh Jacobs,81580-33076:Travis Kelce
21,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,27.4 81580-45889:Davante Adams,30.3 81580-72731:Josh Jacobs,33.5 81580-33076:Travis Kelce,LV,KC,LV,LV,KC,Yes,2:3,0,14.0,15.0,27.4,30.3,33.5,45.45,135.35,player3,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-45889:Davante Adams,81580-72731:Josh Jacobs,81580-33076:Travis Kelce
22,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,27.4 81580-45889:Davante Adams,30.3 81580-72731:Josh Jacobs,33.5 81580-33076:Travis Kelce,LV,KC,LV,LV,KC,Yes,2:3,0,14.0,15.0,27.4,30.3,33.5,41.099999999999994,133.89999999999998,player2,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-45889:Davante Adams,81580-72731:Josh Jacobs,81580-33076:Travis Kelce
23,14.0 81580-40856:Daniel Carlson,15.0 81580-40647:Marquez Valdes-Scantling,27.4 81580-45889:Davante Adams,30.3 81580-72731:Josh Jacobs,33.5 81580-33076:Travis Kelce,LV,KC,LV,LV,KC,Yes,2:3,0,14.0,15.0,27.4,30.3,33.5,22.5,127.7,player1,81580-40856:Daniel Carlson,81580-40647:Marquez Valdes-Scantling,81580-45889:Davante Adams,81580-72731:Josh Jacobs,81580-33076:Travis Kelce
