,Player ID + Player Name,Position,Team_x,Salary,player_wk_year,Prob2,game_index_x,game_id,year_x,week_x,day,favorites_city,underdog_city,Spread_Line,over_under_line,Player,position,Team_y,Points,week_y,year_y
5,81580-60712:Foster Moreau,TE,LV,5500,Foster Moreau 5 2022,0,0,2022week5_mon_night_fanduel_players.csv,2022,5,Mon,KC,LV,-7.0,51.5,,,,0.0,,
27,81556-70531:Jack Sorenson,WR,CIN,5000,Jack Sorenson 5 2022,0,1,2022week5_sun_night_fanduel_players.csv,2022,5,Sun,BAL,CIN,-3.5,47.5,,,,0.0,,
29,81556-63186:James Proche II,WR,BAL,5500,James Proche II 5 2022,0,1,2022week5_sun_night_fanduel_players.csv,2022,5,Sun,BAL,CIN,-3.5,47.5,,,,0.0,,
66,81393-28900:Melvin Gordon III,RB,DEN,12500,Melvin Gordon III 5 2022,0,2,2022week5_thu_night_fanduel_players.csv,2022,5,Thu,DEN,IND,-3.0,42.0,,,,0.0,,
95,81945-14187:A.J. Green,WR,ARI,7000,A.J. Green 7 2022,0,4,2022week7_thu_night_fanduel_players.csv,2022,7,Thu,ARI,NO,-2.5,44.0,,,,0.0,,
97,81945-26251:Robbie Anderson,WR,ARI,7000,Robbie Anderson 7 2022,0,4,2022week7_thu_night_fanduel_players.csv,2022,7,Thu,ARI,NO,-2.5,44.0,,,,0.0,,
98,81945-14211:Mark Ingram II,RB,NO,7500,Mark Ingram II 7 2022,0,4,2022week7_thu_night_fanduel_players.csv,2022,7,Thu,ARI,NO,-2.5,44.0,,,,0.0,,
133,82454-94534:Gabe Davis,WR,BUF,12500,Gabe Davis 8 2022,0,6,2022week8_sun_night_fanduel_players.csv,2022,8,Sun,BUF,GB,-10.5,47.0,,,,0.0,,
178,82810-87515:Tylan Wallace,WR,BAL,5000,Tylan Wallace 9 2022,0,8,2022week9_mon_night_fanduel_players.csv,2022,9,Mon,BAL,NO,-1.5,46.5,,,,0.0,,
179,82810-63186:James Proche II,WR,BAL,5000,James Proche II 9 2022,0,8,2022week9_mon_night_fanduel_players.csv,2022,9,Mon,BAL,NO,-1.5,46.5,,,,0.0,,
188,82810-31394:Jarvis Landry,WR,NO,7500,Jarvis Landry 9 2022,0,8,2022week9_mon_night_fanduel_players.csv,2022,9,Mon,BAL,NO,-1.5,46.5,,,,0.0,,
