keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Min,Max,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
x,83673-55050:Christian McCaffrey,83673-55050,RB,Christian,Christian McCaffrey,McCaffrey,15.5,7.2,36.26,9,16500,SF@ARI,SF,ARI,,,
,83673-63484:Kyler Murray,83673-63484,QB,Kyler,Kyler Murray,Murray,18.5,13.36,26.88,9,16000,SF@ARI,ARI,SF,Q,Hamstring,
x,83673-16606:DeAndre Hopkins,83673-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,14.5,11.6,27.9,4,15000,SF@ARI,ARI,SF,Q,Hamstring,
x,83673-54604:Jimmy Garoppolo,83673-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,16.1,9.44,18.94,8,14500,SF@ARI,SF,ARI,,,
x,83673-11500:Colt McCoy,83673-11500,QB,Colt,Colt McCoy,McCoy,13.92000008,13,13.92,1,14000,SF@ARI,ARI,SF,,,
x,83673-56018:Deebo Samuel,83673-56018,WR,Deebo,Deebo Samuel,Samuel,11.32499981,6.1,20.7,8,12000,SF@ARI,SF,ARI,,,
x,83673-85798:Brandon Aiyuk,83673-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,11.26666684,5.7,24.3,9,11500,SF@ARI,SF,ARI,,,
x,83673-40687:James Conner,83673-40687,RB,James,James Conner,Conner,11.5,6.1,22.1,7,11000,SF@ARI,ARI,SF,,,
x,83673-93408:Rondale Moore,83673-93408,WR,Rondale,Rondale Moore,Moore,9.9,2.2,19.9,7,10500,SF@ARI,ARI,SF,,,
,83673-56286:Trace McSorley,83673-56286,QB,Trace,Trace McSorley,McSorley,2.480000019,,,1,10000,SF@ARI,ARI,SF,,,
x,83673-39793:George Kittle,83673-39793,TE,George,George Kittle,Kittle,9.5,2.6,18.8,7,10000,SF@ARI,SF,ARI,,,
x,83673-12549:San Francisco 49ers,83673-12549,D,San Francisco,San Francisco 49ers,49ers,8.333333333,1,21,9,9500,SF@ARI,SF,ARI,,,
x,83673-12546:Arizona Cardinals,83673-12546,D,Arizona,Arizona Cardinals,Cardinals,8,-2,17,10,9000,SF@ARI,ARI,SF,,,
x,83673-6910:Robbie Gould,83673-6910,K,Robbie,Robbie Gould,Gould,7.222222222,2,14,9,9000,SF@ARI,SF,ARI,,,
x,83673-92413:Elijah Mitchell,83673-92413,RB,Elijah,Elijah Mitchell,Mitchell,7.5,4.1,9.3,2,8500,SF@ARI,SF,ARI,,,
x,83673-6782:Matt Prater,83673-6782,K,Matt,Matt Prater,Prater,6,1,14,6,8500,SF@ARI,ARI,SF,,,
x,83673-61593:Jauan Jennings,83673-61593,WR,Jauan,Jauan Jennings,Jennings,4,0.9,5.5,8,8000,SF@ARI,SF,ARI,,,
x,83673-92545:Keaontay Ingram,83673-92545,RB,Keaontay,Keaontay Ingram,Ingram,4.1,0.2,10.7,4,7500,SF@ARI,ARI,SF,,,
,83673-29780:Zach Ertz,83673-29780,TE,Zach,Zach Ertz,Ertz,9.209999847,,,10,7500,SF@ARI,ARI,SF,O,Knee,
x,83673-14187:A.J. Green,83673-14187,WR,A.J.,A.J. Green,Green,3.4,0,8,7,7500,SF@ARI,ARI,SF,,,
x,83673-91750:Trey McBride,83673-91750,TE,Trey,Trey McBride,McBride,1.699999968,0,3.9,3,7000,SF@ARI,ARI,SF,,,
x,83673-69558:Greg Dortch,83673-69558,WR,Greg,Greg Dortch,Dortch,4.5,0,13.5,10,6500,SF@ARI,ARI,SF,,,
x,83673-62055:Ray-Ray McCloud III,83673-62055,WR,Ray-Ray,Ray-Ray McCloud III,McCloud III,3.022222307,0,14.5,9,6500,SF@ARI,SF,ARI,,,
,83673-26251:Robbie Anderson,83673-26251,WR,Robbie,Robbie Anderson,Anderson,3.900000095,0,18.7,8,6000,SF@ARI,ARI,SF,,,
,83673-102893:Tyrion Davis-Price,83673-102893,RB,Tyrion,Tyrion Davis-Price,Davis-Price,1.850000024,,,2,6000,SF@ARI,SF,ARI,,,
x,83673-26038:Tyler Kroft,83673-26038,TE,Tyler,Tyler Kroft,Kroft,2.4,1.1,1.4,2,5500,SF@ARI,SF,ARI,,,
,83673-28346:Maxx Williams,83673-28346,TE,Maxx,Maxx Williams,Williams,6.659999847,,,5,5500,SF@ARI,ARI,SF,Q,Knee,
,83673-86875:Jordan Mason,83673-86875,RB,Jordan,Jordan Mason,Mason,0.699999988,,,1,5500,SF@ARI,SF,ARI,,,
x,83673-29277:Stephen Anderson,83673-29277,TE,Stephen,Stephen Anderson,Anderson,0.349999994,0,0.7,2,5500,SF@ARI,ARI,SF,,,
,83673-27776:Tevin Coleman,83673-27776,RB,Tevin,Tevin Coleman,Coleman,10.25,,,2,5000,SF@ARI,SF,ARI,,,
,83673-39428:Kyle Juszczyk,83673-39428,RB,Kyle,Kyle Juszczyk,Juszczyk,3.971428462,,,7,5000,SF@ARI,SF,ARI,,,
,83673-93577:Dazz Newsome,83673-93577,WR,Dazz,Dazz Newsome,Newsome,1.099999984,,,3,5000,SF@ARI,SF,ARI,,,
x,83673-136970:Danny Gray,83673-136970,WR,Danny,Danny Gray,Gray,0,0,0,3,5000,SF@ARI,SF,ARI,,,
,83673-56715:Tristan Vizcaino,83673-56715,K,Tristan,Tristan Vizcaino,Vizcaino,10,,,1,5000,SF@ARI,ARI,SF,,,
,83673-111756:JaVonta Payton,83673-111756,WR,JaVonta,JaVonta Payton,Payton,,,,,5000,SF@ARI,ARI,SF,,,
,83673-93845:Tay Martin,83673-93845,WR,Tay,Tay Martin,Martin,,,,,5000,SF@ARI,SF,ARI,,,
,83673-55323:Jaylen Samuels,83673-55323,RB,Jaylen,Jaylen Samuels,Samuels,1.266666651,,,3,5000,SF@ARI,ARI,SF,,,
