keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
x,84238-6498:Tom Brady,84238-6498,QB,Tom,Tom Brady,Brady,18.06,11,16000,NO@TB,TB,NO,,,
x,84238-42104:Alvin Kamara,84238-42104,RB,Alvin,Alvin Kamara,Kamara,15.9,10,15000,NO@TB,NO,TB,,,
x,84238-32384:Mike Evans,84238-32384,WR,Mike,Mike Evans,Evans,12.2,10,14000,NO@TB,TB,NO,,,
x,84238-87770:Chris Olave,84238-87770,WR,Chris,Chris Olave,Olave,9.7,11,13500,NO@TB,NO,TB,,,
x,84238-14225:Andy Dalton,84238-14225,QB,Andy,Andy Dalton,Dalton,16.5,9,13000,NO@TB,NO,TB,,,
x,84238-55635:Chris Godwin,84238-55635,WR,Chris,Chris Godwin,Godwin,11.9,9,12500,NO@TB,TB,NO,,,
x,84238-52922:Leonard Fournette,84238-52922,RB,Leonard,Leonard Fournette,Fournette,15,10,12000,NO@TB,TB,NO,Q,Hip,
x,84238-137902:Rachaad White,84238-137902,RB,Rachaad,Rachaad White,White,9.5,11,11000,NO@TB,TB,NO,,,
x,84238-45565:Taysom Hill,84238-45565,TE,Taysom,Taysom Hill,Hill,8.281818043,11,10000,NO@TB,NO,TB,,,
x,84238-12551:Tampa Bay Buccaneers,84238-12551,D,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,7.363636364,11,9500,NO@TB,TB,NO,,,
x,84238-6767:Ryan Succop,84238-6767,K,Ryan,Ryan Succop,Succop,8.818181818,11,9000,NO@TB,TB,NO,,,
x,84238-48380:Wil Lutz,84238-48380,K,Wil,Wil Lutz,Lutz,7.083333333,12,8500,NO@TB,NO,TB,,,
x,84238-12542:New Orleans Saints,84238-12542,D,New Orleans,New Orleans Saints,Saints,5.25,12,8000,NO@TB,NO,TB,,,
x,84238-86811:Cade Otton,84238-86811,TE,Cade,Cade Otton,Otton,5.887499809,8,7500,NO@TB,TB,NO,,,
x,84238-31394:Jarvis Landry,84238-31394,WR,Jarvis,Jarvis Landry,Landry,7.2,7,7500,NO@TB,NO,TB,,,
