keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
x,84430-69189:Justin Herbert,84430-69189,QB,Justin,Justin Herbert,Herbert,19.5,12,16500,MIA@LAC,LAC,MIA,,,
x,84430-90572:Tua Tagovailoa,84430-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,19.04,10,16000,MIA@LAC,MIA,LAC,,,
x,84430-53681:Tyreek Hill,84430-53681,WR,Tyreek,Tyreek Hill,Hill,18.8,12,15500,MIA@LAC,MIA,LAC,,,
x,84430-80001:Austin Ekeler,84430-80001,RB,Austin,Austin Ekeler,Ekeler,20.4,12,15000,MIA@LAC,LAC,MIA,,,
x,84430-90573:Jaylen Waddle,84430-90573,WR,Jaylen,Jaylen Waddle,Waddle,14.2,12,12500,MIA@LAC,MIA,LAC,,,
x,84430-29253:Keenan Allen,84430-29253,WR,Keenan,Keenan Allen,Allen,10.6,5,12000,MIA@LAC,LAC,MIA,,,
x,84430-39829:Mike Williams,84430-39829,WR,Mike,Mike Williams,Williams,11.3,8,11000,MIA@LAC,LAC,MIA,,,
x,84430-55552:Jeff Wilson Jr.,84430-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,9.741666794,12,10500,MIA@LAC,MIA,LAC,,,
x,84430-87418:Joshua Palmer,84430-87418,WR,Joshua,Joshua Palmer,Palmer,9.827272589,11,10000,MIA@LAC,LAC,MIA,,,
x,84430-52767:Jason Sanders,84430-52767,K,Jason,Jason Sanders,Sanders,7.75,12,9500,MIA@LAC,MIA,LAC,,,
x,84430-28744:Raheem Mostert,84430-28744,RB,Raheem,Raheem Mostert,Mostert,9.245454268,11,9500,MIA@LAC,MIA,LAC,,,
x,84430-92496:Cameron Dicker,84430-92496,K,Cameron,Cameron Dicker,Dicker,8.666666667,6,9000,MIA@LAC,LAC,MIA,,,
x,84430-12539:Miami Dolphins,84430-12539,D,Miami,Miami Dolphins,Dolphins,6.666666667,12,9000,MIA@LAC,MIA,LAC,,,
x,84430-12548:Los Angeles Chargers,84430-12548,D,Los Angeles,Los Angeles Chargers,Chargers,4.916666667,12,8500,MIA@LAC,LAC,MIA,,,
x,84430-57299:Gerald Everett,84430-57299,TE,Gerald,Gerald Everett,Everett,7.6,11,8500,MIA@LAC,LAC,MIA,,,
x,84430-62628:DeAndre Carter,84430-62628,WR,DeAndre,DeAndre Carter,Carter,6.799999873,12,8000,MIA@LAC,LAC,MIA,,,
x,84430-56059:Trent Sherfield,84430-56059,WR,Trent,Trent Sherfield,Sherfield,5,12,7500,MIA@LAC,MIA,LAC,,,
x,84430-56265:Mike Gesicki,84430-56265,TE,Mike,Mike Gesicki,Gesicki,5.241666794,12,7000,MIA@LAC,MIA,LAC,,,
x,84430-69581:Cedrick Wilson Jr.,84430-69581,WR,Cedrick,Cedrick Wilson Jr.,Wilson Jr.,1.655555513,9,7000,MIA@LAC,MIA,LAC,,,
,84430-60930:Myles Gaskin,84430-60930,RB,Myles,Myles Gaskin,Gaskin,3.700000048,2,6500,MIA@LAC,MIA,LAC,,,
,84430-41997:River Cracraft,84430-41997,WR,River,River Cracraft,Cracraft,3.67142868,7,6500,MIA@LAC,MIA,LAC,D,Calf,
,84430-114100:Isaiah Spiller,84430-114100,RB,Isaiah,Isaiah Spiller,Spiller,1.380000019,5,6000,MIA@LAC,LAC,MIA,,,
x,84430-91872:Joshua Kelley,84430-91872,RB,Joshua,Joshua Kelley,Kelley,4.5,7,6000,MIA@LAC,LAC,MIA,,,
,84430-53640:Sony Michel,84430-53640,RB,Sony,Sony Michel,Michel,2.039999962,10,5500,MIA@LAC,LAC,MIA,,,
,84430-154661:Michael Bandy,84430-154661,WR,Michael,Michael Bandy,Bandy,1.737499952,8,5500,MIA@LAC,LAC,MIA,,,
x,84430-42046:Durham Smythe,84430-42046,TE,Durham,Durham Smythe,Smythe,3.012500048,8,5500,MIA@LAC,MIA,LAC,Q,Quadriceps,
,84430-63717:Alec Ingold,84430-63717,RB,Alec,Alec Ingold,Ingold,3.674999952,8,5500,MIA@LAC,MIA,LAC,,,
,84430-86780:Salvon Ahmed,84430-86780,RB,Salvon,Salvon Ahmed,Ahmed,0.649999976,2,5500,MIA@LAC,MIA,LAC,,,
,84430-22018:Mohamed Sanu Sr.,84430-22018,WR,Mohamed,Mohamed Sanu Sr.,Sanu Sr.,3.150000095,8,5000,MIA@LAC,MIA,LAC,,,
