keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
x,85575-89951:Trevor Lawrence,85575-89951,QB,Trevor,Trevor Lawrence,Lawrence,20.27,16,16500,TEN@JAC,JAC,TEN,Q,Toe,
x,85575-39280:Derrick Henry,85575-39280,RB,Derrick,Derrick Henry,Henry,18.19733276,15,16000,TEN@JAC,TEN,JAC,,,
x,85575-89956:Travis Etienne Jr.,85575-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,12.25,16,14000,TEN@JAC,JAC,TEN,,,
,85575-87691:Malik Willis,85575-87691,QB,Malik,Malik Willis,Willis,3.191428593,7,13500,TEN@JAC,TEN,JAC,,,
x,85575-40407:Joshua Dobbs,85575-40407,QB,Joshua,Joshua Dobbs,Dobbs,12.2,1,13500,TEN@JAC,TEN,JAC,,,
x,85575-60858:Christian Kirk,85575-60858,WR,Christian,Christian Kirk,Kirk,12.13,16,12000,TEN@JAC,JAC,TEN,,,
x,85575-41305:Zay Jones,85575-41305,WR,Zay,Zay Jones,Jones,10.6,15,11000,TEN@JAC,JAC,TEN,,,
x,85575-41872:Evan Engram,85575-41872,TE,Evan,Evan Engram,Engram,10.4,16,10500,TEN@JAC,JAC,TEN,,,
x,85575-110259:Treylon Burks,85575-110259,WR,Treylon,Treylon Burks,Burks,7.369999695,10,10000,TEN@JAC,TEN,JAC,Q,Groin,
x,85575-90949:Riley Patterson,85575-90949,K,Riley,Riley Patterson,Patterson,8.25,16,9500,TEN@JAC,JAC,TEN,,,
x,85575-12554:Jacksonville Jaguars,85575-12554,D,Jacksonville,Jacksonville Jaguars,Jaguars,7.75,16,9000,TEN@JAC,JAC,TEN,,,
x,85575-22100:Randy Bullock,85575-22100,K,Randy,Randy Bullock,Bullock,5.285714286,14,9000,TEN@JAC,TEN,JAC,,,
x,85575-22103:Marvin Jones Jr.,85575-22103,WR,Marvin,Marvin Jones Jr.,Jones Jr.,6,15,8500,TEN@JAC,JAC,TEN,,,
x,85575-12534:Tennessee Titans,85575-12534,D,Tennessee,Tennessee Titans,Titans,5.6875,16,8500,TEN@JAC,TEN,JAC,,,
x,85575-79979:Jamal Agnew,85575-79979,WR,Jamal,Jamal Agnew,Agnew,4.107142857,14,8000,TEN@JAC,JAC,TEN,,,
x,85575-29685:Robert Woods,85575-29685,WR,Robert,Robert Woods,Woods,5.199999809,16,8000,TEN@JAC,TEN,JAC,,,
x,85575-65724:JaMycal Hasty,85575-65724,RB,JaMycal,JaMycal Hasty,Hasty,4.576923077,13,7500,TEN@JAC,JAC,TEN,,,
x,85575-88297:Chig Okonkwo,85575-88297,TE,Chig,Chig Okonkwo,Okonkwo,4.964285714,14,7500,TEN@JAC,TEN,JAC,,,
x,85575-64389:Nick Westbrook-Ikhine,85575-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,5.014285496,14,7000,TEN@JAC,TEN,JAC,,,
x,85575-91361:Hassan Haskins,85575-91361,RB,Hassan,Hassan Haskins,Haskins,1.627272693,11,7000,TEN@JAC,TEN,JAC,,,
x,85575-40126:Austin Hooper,85575-40126,TE,Austin,Austin Hooper,Hooper,4.443749905,16,6500,TEN@JAC,TEN,JAC,,,
,85575-102729:Snoop Conner,85575-102729,RB,Snoop,Snoop Conner,Conner,2.039999962,5,6500,TEN@JAC,JAC,TEN,,,
,85575-71723:Dez Fitzpatrick,85575-71723,WR,Dez,Dez Fitzpatrick,Fitzpatrick,4.46666654,3,6000,TEN@JAC,TEN,JAC,,,
,85575-30403:Chris Conley,85575-30403,WR,Chris,Chris Conley,Conley,1.649999976,4,6000,TEN@JAC,TEN,JAC,,,
,85575-86173:Mekhi Sargent,85575-86173,RB,Mekhi,Mekhi Sargent,Sargent,0.275000006,4,5500,TEN@JAC,JAC,TEN,,,
