keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
x,81556-63115:Lamar Jackson,81556-63115,QB,Lamar,Lamar Jackson,Jackson,29.82999992,5,4,17000,CIN@BAL,BAL,CIN,,
x,81556-63336:Joe Burrow,81556-63336,QB,Joe,Joe Burrow,Burrow,20.46500015,5,4,15500,CIN@BAL,CIN,BAL,,
x,81556-52436:Mark Andrews,81556-52436,TE,Mark,Mark Andrews,Andrews,14.07499981,5,4,14000,CIN@BAL,BAL,CIN,,
x,81556-85701:Ja'Marr Chase,81556-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,13,5,4,13500,CIN@BAL,CIN,BAL,,
x,81556-52442:Joe Mixon,81556-52442,RB,Joe,Joe Mixon,Mixon,12.125,3,4,12500,CIN@BAL,CIN,BAL,,
x,81556-89981:Tee Higgins,81556-89981,WR,Tee,Tee Higgins,Higgins,13.375,4,4,12000,CIN@BAL,CIN,BAL,Q,Ankle
x,81556-87787:J.K. Dobbins,81556-87787,RB,J.K.,J.K. Dobbins,Dobbins,12.64999962,3,2,11500,CIN@BAL,BAL,CIN,,
,81556-85845:Rashod Bateman,81556-85845,WR,Rashod,Rashod Bateman,Bateman,9.949999809,,4,11000,CIN@BAL,BAL,CIN,O,Foot
x,81556-40669:Tyler Boyd,81556-40669,WR,Tyler,Tyler Boyd,Boyd,10.27999973,3,4,10000,CIN@BAL,CIN,BAL,,
x,81556-12555:Baltimore Ravens,81556-12555,D,Baltimore,Baltimore Ravens,Ravens,8.5,1,4,9500,CIN@BAL,BAL,CIN,,
x,81556-23045:Justin Tucker,81556-23045,K,Justin,Justin Tucker,Tucker,9,4,4,9000,CIN@BAL,BAL,CIN,,
x,81556-12528:Cincinnati Bengals,81556-12528,D,Cincinnati,Cincinnati Bengals,Bengals,7.5,3,4,9000,CIN@BAL,CIN,BAL,,
x,81556-71032:Devin Duvernay,81556-71032,WR,Devin,Devin Duvernay,Duvernay,11.75,3,4,9000,CIN@BAL,BAL,CIN,,
x,81556-86092:Evan McPherson,81556-86092,K,Evan,Evan McPherson,McPherson,10.5,4,4,8500,CIN@BAL,CIN,BAL,,
,81556-71521:Justice Hill,81556-71521,RB,Justice,Justice Hill,Hill,4.099999905,,4,8500,CIN@BAL,BAL,CIN,O,Hamstring
x,81556-64031:Hayden Hurst,81556-64031,TE,Hayden,Hayden Hurst,Hurst,5.849999905,3,4,8000,CIN@BAL,CIN,BAL,Q,Groin
x,81556-52451:Samaje Perine,81556-52451,RB,Samaje,Samaje Perine,Perine,4.949999809,1,4,7500,CIN@BAL,CIN,BAL,,
x,81556-30989:Kenyan Drake,81556-30989,RB,Kenyan,Kenyan Drake,Drake,2.950000048,2,2,7000,CIN@BAL,BAL,CIN,,
x,81556-38264:Demarcus Robinson,81556-38264,WR,Demarcus,Demarcus Robinson,Robinson,3.150000095,1,4,6500,CIN@BAL,BAL,CIN,,
x,81556-55694:Mike Thomas,81556-55694,WR,Mike,Mike Thomas,Thomas,3,1,1,6000,CIN@BAL,CIN,BAL,,
x,81556-30635:Mike Davis,81556-30635,RB,Mike,Mike Davis,Davis,0.75,1,2,6000,CIN@BAL,BAL,CIN,,
x,81556-73130:Chris Evans,81556-73130,RB,Chris,Chris Evans,Evans,0.449999988,1,2,6000,CIN@BAL,CIN,BAL,,
x,81556-65182:Mitchell Wilcox,81556-65182,TE,Mitchell,Mitchell Wilcox,Wilcox,1.5,1,3,5500,CIN@BAL,CIN,BAL,,
x,81556-63907:Josh Oliver,81556-63907,TE,Josh,Josh Oliver,Oliver,7.800000191,2,1,5500,CIN@BAL,BAL,CIN,,
x,81556-63186:James Proche II,81556-63186,WR,James,James Proche II,Proche II,4.028571538,1,7,5500,CIN@BAL,BAL,CIN,,
x,81556-87260:Isaiah Likely,81556-87260,TE,Isaiah,Isaiah Likely,Likely,2.533333302,2,3,5500,CIN@BAL,BAL,CIN,,
,81556-73089:Devin Asiasi,81556-73089,TE,Devin,Devin Asiasi,Asiasi,0,1,1,5000,CIN@BAL,CIN,BAL,Q,Ankle
x,81556-70531:Jack Sorenson,81556-70531,WR,Jack,Jack Sorenson,Sorenson,,1,,5000,CIN@BAL,CIN,BAL,,
,81556-85635:Charlie Kolar,81556-85635,TE,Charlie,Charlie Kolar,Kolar,,,,5000,CIN@BAL,BAL,CIN,IR,Sports hernia
,81556-56711:Drew Sample,81556-56711,TE,Drew,Drew Sample,Sample,0.400000006,,2,5000,CIN@BAL,CIN,BAL,IR,Knee - mcl
,81556-64905:Trenton Irwin,81556-64905,WR,Trenton,Trenton Irwin,Irwin,1.100000024,,4,5000,CIN@BAL,CIN,BAL,,
,81556-71048:Thaddeus Moss,81556-71048,TE,Thaddeus,Thaddeus Moss,Moss,,,,5000,CIN@BAL,CIN,BAL,,
,81556-61072:Stanley Morgan,81556-61072,WR,Stanley,Stanley Morgan,Morgan,0.600000024,,4,5000,CIN@BAL,CIN,BAL,,
,81556-94993:Pooka Williams Jr.,81556-94993,RB,Pooka,Pooka Williams Jr.,Williams Jr.,0,,1,5000,CIN@BAL,CIN,BAL,,
,81556-170000:Shemar Bridges,81556-170000,WR,Shemar,Shemar Bridges,Bridges,,,,5000,CIN@BAL,BAL,CIN,Q,Undisclosed
,81556-141201:Raleigh Webb,81556-141201,WR,Raleigh,Raleigh Webb,Webb,,,,5000,CIN@BAL,BAL,CIN,,
,81556-90518:Slade Bolden,81556-90518,WR,Slade,Slade Bolden,Bolden,,,,5000,CIN@BAL,BAL,CIN,IR,Undisclosed
,81556-112790:Trevon Clark,81556-112790,WR,Trevon,Trevon Clark,Clark,,,,5000,CIN@BAL,BAL,CIN,,
,81556-43416:Trent Taylor,81556-43416,WR,Trent,Trent Taylor,Taylor,0,,4,5000,CIN@BAL,CIN,BAL,,
,81556-64408:Nick Bowers,81556-64408,TE,Nick,Nick Bowers,Bowers,,,,5000,CIN@BAL,CIN,BAL,,
,81556-92056:Cal Adomitis,81556-92056,TE,Cal,Cal Adomitis,Adomitis,,,,5000,CIN@BAL,CIN,BAL,,
,81556-70051:Tyler Huntley,81556-70051,QB,Tyler,Tyler Huntley,Huntley,12.37714277,,7,5000,CIN@BAL,BAL,CIN,,
,81556-91431:Ben Mason,81556-91431,RB,Ben,Ben Mason,Mason,,,,5000,CIN@BAL,BAL,CIN,,
,81556-94887:Tyler Badie,81556-94887,RB,Tyler,Tyler Badie,Badie,,,,5000,CIN@BAL,BAL,CIN,,
,81556-60840:Jake Browning,81556-60840,QB,Jake,Jake Browning,Browning,,,,5000,CIN@BAL,CIN,BAL,,
,81556-93864:Ricky Person Jr.,81556-93864,RB,Ricky,Ricky Person Jr.,Person Jr.,,,,5000,CIN@BAL,BAL,CIN,IR,Undisclosed
,81556-61610:Jacques Patrick,81556-61610,RB,Jacques,Jacques Patrick,Patrick,1.200000048,,1,5000,CIN@BAL,CIN,BAL,,
,81556-80299:Patrick Ricard,81556-80299,RB,Patrick,Patrick Ricard,Ricard,1.725000024,,4,5000,CIN@BAL,BAL,CIN,,
,81556-87338:Jaivon Heiligh,81556-87338,WR,Jaivon,Jaivon Heiligh,Heiligh,,,,5000,CIN@BAL,CIN,BAL,,
,81556-62510:Nick Boyle,81556-62510,TE,Nick,Nick Boyle,Boyle,0.349999994,,2,5000,CIN@BAL,BAL,CIN,,
,81556-63919:Bailey Gaither,81556-63919,WR,Bailey,Bailey Gaither,Gaither,,,,5000,CIN@BAL,BAL,CIN,,
,81556-72241:Drew Plitt,81556-72241,QB,Drew,Drew Plitt,Plitt,,,,5000,CIN@BAL,CIN,BAL,,
,81556-40758:Corey Clement,81556-40758,RB,Corey,Corey Clement,Clement,3.699999946,,7,5000,CIN@BAL,BAL,CIN,,
,81556-71355:Elijah Holyfield,81556-71355,RB,Elijah,Elijah Holyfield,Holyfield,,,,5000,CIN@BAL,CIN,BAL,IR,Knee
,81556-128574:Shermari Jones,81556-128574,RB,Shermari,Shermari Jones,Jones,,,,5000,CIN@BAL,CIN,BAL,,
,81556-31170:Brandon Allen,81556-31170,QB,Brandon,Brandon Allen,Allen,2.771999931,,5,5000,CIN@BAL,CIN,BAL,,
,81556-86984:Devon Williams,81556-86984,WR,Devon,Devon Williams,Williams,,,,5000,CIN@BAL,BAL,CIN,,
,81556-69069:Tony Poljan,81556-69069,TE,Tony,Tony Poljan,Poljan,,,,5000,CIN@BAL,BAL,CIN,,
,81556-87515:Tylan Wallace,81556-87515,WR,Tylan,Tylan Wallace,Wallace,0.699999988,,2,5000,CIN@BAL,BAL,CIN,,
,81556-29915:Brett Hundley,81556-29915,QB,Brett,Brett Hundley,Hundley,,,,5000,CIN@BAL,BAL,CIN,,
,81556-69597:Anthony Brown,81556-69597,QB,Anthony,Anthony Brown,Brown,,,,5000,CIN@BAL,BAL,CIN,,
,81556-73180:Binjimen Victor,81556-73180,WR,Binjimen,Binjimen Victor,Victor,,,,5000,CIN@BAL,BAL,CIN,,
,81556-69860:Trayveon Williams,81556-69860,RB,Trayveon,Trayveon Williams,Williams,3,,2,5000,CIN@BAL,CIN,BAL,,
,81556-40167:Gus Edwards,81556-40167,RB,Gus,Gus Edwards,Edwards,,,,5000,CIN@BAL,BAL,CIN,NA,Knee - acl
,81556-72427:Kwamie Lassiter II,81556-72427,WR,Kwamie,Kwamie Lassiter II,Lassiter II,,,,5000,CIN@BAL,CIN,BAL,,
,81556-149742:Nate McCrary,81556-149742,RB,Nate,Nate McCrary,McCrary,-0.100000001,,1,5000,CIN@BAL,BAL,CIN,,
