keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
x,81393-22015:Russell Wilson,81393-22015,QB,Russell,Russell Wilson,Wilson,16.47500038,5,4,16500,IND@DEN,DEN,IND,,
x,81393-6616:Matt Ryan,81393-6616,QB,Matt,Matt Ryan,Ryan,13.80000019,4,4,15000,IND@DEN,IND,DEN,,
,81393-89675:Jonathan Taylor,81393-89675,RB,Jonathan,Jonathan Taylor,Taylor,11.42500019,,4,14000,IND@DEN,IND,DEN,O,Ankle
x,81393-69213:Michael Pittman Jr.,81393-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,12.80000051,5,3,14000,IND@DEN,IND,DEN,,
x,81393-57403:Courtland Sutton,81393-57403,WR,Courtland,Courtland Sutton,Sutton,13.19999981,5,4,13000,IND@DEN,DEN,IND,,
x,81393-28900:Melvin Gordon III,81393-28900,RB,Melvin,Melvin Gordon III,Gordon III,6.199999809,5,4,12500,IND@DEN,DEN,IND,,
,81393-93541:Javonte Williams,81393-93541,RB,Javonte,Javonte Williams,Williams,8.5,,4,12500,IND@DEN,DEN,IND,IR,Knee - acl
x,81393-90561:Jerry Jeudy,81393-90561,WR,Jerry,Jerry Jeudy,Jeudy,8.975000381,4,4,12000,IND@DEN,DEN,IND,,
x,81393-63625:Nyheim Hines,81393-63625,RB,Nyheim,Nyheim Hines,Hines,5.224999905,3,4,11000,IND@DEN,IND,DEN,,
x,81393-12531:Denver Broncos,81393-12531,D,Denver,Denver Broncos,Broncos,7.5,4,4,10000,IND@DEN,DEN,IND,,
x,81393-93134:Deon Jackson,81393-93134,RB,Deon,Deon Jackson,Jackson,-0.300000012,0,1,9500,IND@DEN,IND,DEN,,
x,81393-12535:Indianapolis Colts,81393-12535,D,Indianapolis,Indianapolis Colts,Colts,3.75,3,4,9500,IND@DEN,IND,DEN,,
x,81393-26247:Brandon McManus,81393-26247,K,Brandon,Brandon McManus,McManus,8.25,4,4,9000,IND@DEN,DEN,IND,,
x,81393-58041:Mike Boone,81393-58041,RB,Mike,Mike Boone,Boone,1.366666635,2,3,9000,IND@DEN,DEN,IND,,
x,81393-60479:Chase McLaughlin,81393-60479,K,Chase,Chase McLaughlin,McLaughlin,8,4,2,8500,IND@DEN,IND,DEN,,
x,81393-24533:Mo Alie-Cox,81393-24533,TE,Mo,Mo Alie-Cox,Alie-Cox,7.474999905,3,4,8000,IND@DEN,IND,DEN,,
x,81393-86312:Alec Pierce,81393-86312,WR,Alec,Alec Pierce,Pierce,5.866666794,2,3,7500,IND@DEN,IND,DEN,,
