keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
x,82810-63115:Lamar Jackson,82810-63115,QB,Lamar,Lamar Jackson,Jackson,23.08749962,5,8,17000,BAL@NO,BAL,NO,,,
x,82810-42104:Alvin Kamara,82810-42104,RB,Alvin,Alvin Kamara,Kamara,16.75,5,6,15500,BAL@NO,NO,BAL,,,
x,82810-14225:Andy Dalton,82810-14225,QB,Andy,Andy Dalton,Dalton,17,4,5,15000,BAL@NO,NO,BAL,,,
x,82810-87770:Chris Olave,82810-87770,WR,Chris,Chris Olave,Olave,10,5,7,13000,BAL@NO,NO,BAL,,,
,82810-40167:Gus Edwards,82810-40167,RB,Gus,Gus Edwards,Edwards,12.55000019,0,2,11500,BAL@NO,BAL,NO,D,Hamstring,
x,82810-71032:Devin Duvernay,82810-71032,WR,Devin,Devin Duvernay,Duvernay,9.850000381,4,8,11000,BAL@NO,BAL,NO,,,
x,82810-45565:Taysom Hill,82810-45565,TE,Taysom,Taysom Hill,Hill,12.5,2,7,10500,BAL@NO,NO,BAL,,,
x,82810-23045:Justin Tucker,82810-23045,K,Justin,Justin Tucker,Tucker,10.25,5,8,10000,BAL@NO,BAL,NO,,,
x,82810-12555:Baltimore Ravens,82810-12555,D,Baltimore,Baltimore Ravens,Ravens,7.875,4,8,9500,BAL@NO,BAL,NO,,,
x,82810-30989:Kenyan Drake,82810-30989,RB,Kenyan,Kenyan Drake,Drake,8.5,4,6,9000,BAL@NO,BAL,NO,,,
x,82810-48380:Wil Lutz,82810-48380,K,Wil,Wil Lutz,Lutz,7.875,4,8,9000,BAL@NO,NO,BAL,,,
x,82810-38264:Demarcus Robinson,82810-38264,WR,Demarcus,Demarcus Robinson,Robinson,5,2,7,8500,BAL@NO,BAL,NO,Q,Groin,
x,82810-12542:New Orleans Saints,82810-12542,D,New Orleans,New Orleans Saints,Saints,5.375,1,8,8500,BAL@NO,NO,BAL,,,
,82810-24849:Jameis Winston,82810-24849,QB,Jameis,Jameis Winston,Winston,16.30666606,0,3,8000,BAL@NO,NO,BAL,,,
x,82810-64808:Juwan Johnson,82810-64808,TE,Juwan,Juwan Johnson,Johnson,6,3,8,8000,BAL@NO,NO,BAL,,,
x,82810-31394:Jarvis Landry,82810-31394,WR,Jarvis,Jarvis Landry,Landry,8,2,4,7500,BAL@NO,NO,BAL,Q,Ankle,
x,82810-87260:Isaiah Likely,82810-87260,TE,Isaiah,Isaiah Likely,Likely,5.5,2,7,7500,BAL@NO,BAL,NO,,,
x,82810-170287:Rashid Shaheed,82810-170287,WR,Rashid,Rashid Shaheed,Shaheed,8.1,2,3,7000,BAL@NO,NO,BAL,,,
x,82810-71521:Justice Hill,82810-71521,RB,Justice,Justice Hill,Hill,6.5,2,6,7000,BAL@NO,BAL,NO,,,
x,82810-71246:Marquez Callaway,82810-71246,WR,Marquez,Marquez Callaway,Callaway,6,2,6,6500,BAL@NO,NO,BAL,,,
x,82810-57342:Tre'Quan Smith,82810-57342,WR,Tre'Quan,Tre'Quan Smith,Smith,6.083333333,3,6,6500,BAL@NO,NO,BAL,,,
,82810-80299:Patrick Ricard,82810-80299,RB,Patrick,Patrick Ricard,Ricard,1.649999936,,6,6000,BAL@NO,BAL,NO,,,
x,82810-6739:DeSean Jackson,82810-6739,WR,DeSean,DeSean Jackson,Jackson,4.593333435,0,15,6000,BAL@NO,BAL,NO,,,
,82810-42142:Jordan Howard,82810-42142,RB,Jordan,Jordan Howard,Howard,7.837500095,,8,5500,BAL@NO,NO,BAL,,,
x,82810-63907:Josh Oliver,82810-63907,TE,Josh,Josh Oliver,Oliver,4.1,2,5,5500,BAL@NO,BAL,NO,,,
x,82810-30635:Mike Davis,82810-30635,RB,Mike,Mike Davis,Davis,0.599999984,0,3,5500,BAL@NO,BAL,NO,,,
,82810-85635:Charlie Kolar,82810-85635,TE,Charlie,Charlie Kolar,Kolar,,,,5000,BAL@NO,BAL,NO,IR,Sports hernia,
,82810-170000:Shemar Bridges,82810-170000,WR,Shemar,Shemar Bridges,Bridges,,,,5000,BAL@NO,BAL,NO,Q,Undisclosed,
,82810-90518:Slade Bolden,82810-90518,WR,Slade,Slade Bolden,Bolden,,,,5000,BAL@NO,BAL,NO,Q,Undisclosed,
,82810-112790:Trevon Clark,82810-112790,WR,Trevon,Trevon Clark,Clark,,,,5000,BAL@NO,BAL,NO,,,
,82810-28570:Nick Vannett,82810-28570,TE,Nick,Nick Vannett,Vannett,1.149999976,,2,5000,BAL@NO,NO,BAL,,,
,82810-96922:Daniel Whelan,82810-96922,K,Daniel,Daniel Whelan,Whelan,,,,5000,BAL@NO,NO,BAL,,,
,82810-70051:Tyler Huntley,82810-70051,QB,Tyler,Tyler Huntley,Huntley,12.37714277,,7,5000,BAL@NO,BAL,NO,,,
,82810-71844:Blake Gillikin,82810-71844,K,Blake,Blake Gillikin,Gillikin,0,,8,5000,BAL@NO,NO,BAL,,,
,82810-91431:Ben Mason,82810-91431,RB,Ben,Ben Mason,Mason,,,,5000,BAL@NO,BAL,NO,,,
,82810-94887:Tyler Badie,82810-94887,RB,Tyler,Tyler Badie,Badie,,,,5000,BAL@NO,BAL,NO,,,
,82810-55336:Chris Herndon,82810-55336,TE,Chris,Chris Herndon,Herndon,2.4,,5,5000,BAL@NO,NO,BAL,,,
x,82810-34729:Dwayne Washington,82810-34729,RB,Dwayne,Dwayne Washington,Washington,1.033333302,1,3,5000,BAL@NO,NO,BAL,,,
,82810-93864:Ricky Person Jr.,82810-93864,RB,Ricky,Ricky Person Jr.,Person Jr.,,,,5000,BAL@NO,BAL,NO,IR,Undisclosed,
,82810-45997:Keith Kirkwood,82810-45997,WR,Keith,Keith Kirkwood,Kirkwood,1.399999976,,2,5000,BAL@NO,NO,BAL,,,
,82810-62510:Nick Boyle,82810-62510,TE,Nick,Nick Boyle,Boyle,0.349999994,0,2,5000,BAL@NO,BAL,NO,,,
,82810-65839:Kahale Warring,82810-65839,TE,Kahale,Kahale Warring,Warring,,,,5000,BAL@NO,NO,BAL,,,
