keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
x,82605-69531:Jalen Hurts,82605-69531,QB,Jalen,Jalen Hurts,Hurts,25.17999922,5,7,17500,PHI@HOU,PHI,HOU,,,
x,82605-86055:Dameon Pierce,82605-86055,RB,Dameon,Dameon Pierce,Pierce,13.95714242,5,7,15000,PHI@HOU,HOU,PHI,,,
x,82605-72846:A.J. Brown,82605-72846,WR,A.J.,A.J. Brown,Brown,16.4857145,5,7,14500,PHI@HOU,PHI,HOU,,,
x,82605-89628:Davis Mills,82605-89628,QB,Davis,Davis Mills,Mills,12.15428598,3,7,14000,PHI@HOU,HOU,PHI,,,
x,82605-71845:Miles Sanders,82605-71845,RB,Miles,Miles Sanders,Sanders,13.71428571,5,7,13000,PHI@HOU,PHI,HOU,,,
x,82605-90576:DeVonta Smith,82605-90576,WR,DeVonta,DeVonta Smith,Smith,10.42857143,1,7,12000,PHI@HOU,PHI,HOU,,,
x,82605-29501:Brandin Cooks,82605-29501,WR,Brandin,Brandin Cooks,Cooks,8.200000218,0,7,11500,PHI@HOU,HOU,PHI,Q,Wrist,
x,82605-83074:Dallas Goedert,82605-83074,TE,Dallas,Dallas Goedert,Goedert,9.157142639,5,7,11000,PHI@HOU,PHI,HOU,,,
x,82605-12545:Philadelphia Eagles,82605-12545,D,Philadelphia,Philadelphia Eagles,Eagles,10.71428571,3,7,10000,PHI@HOU,PHI,HOU,,,
x,82605-41235:Jake Elliott,82605-41235,K,Jake,Jake Elliott,Elliott,6.666666667,1,6,9500,PHI@HOU,PHI,HOU,,,
x,82605-53390:Zach Pascal,82605-53390,WR,Zach,Zach Pascal,Pascal,3.920000076,0,5,9000,PHI@HOU,PHI,HOU,,,
x,82605-25813:Phillip Dorsett II,82605-25813,WR,Phillip,Phillip Dorsett II,Dorsett II,2.920000076,3,5,9000,PHI@HOU,HOU,PHI,,,
,82605-91419:Nico Collins,82605-91419,WR,Nico,Nico Collins,Collins,6.583333333,,6,8500,PHI@HOU,HOU,PHI,Q,Groin,
x,82605-29932:Ka'imi Fairbairn,82605-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,8.857142857,2,7,8500,PHI@HOU,HOU,PHI,,,
x,82605-12556:Houston Texans,82605-12556,D,Houston,Houston Texans,Texans,6.142857143,1,7,8000,PHI@HOU,HOU,PHI,,,
x,82605-90912:Kenneth Gainwell,82605-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,3.91428566,3,7,8000,PHI@HOU,PHI,HOU,,,
x,82605-43433:Boston Scott,82605-43433,RB,Boston,Boston Scott,Scott,2.660000038,0,5,7500,PHI@HOU,PHI,HOU,,,
x,82605-27338:Rex Burkhead,82605-27338,RB,Rex,Rex Burkhead,Burkhead,5.385714395,0,7,7500,PHI@HOU,HOU,PHI,,,
x,82605-73687:Quez Watkins,82605-73687,WR,Quez,Quez Watkins,Watkins,2.5,1,7,7000,PHI@HOU,PHI,HOU,,,
,82605-57338:Jordan Akins,82605-57338,TE,Jordan,Jordan Akins,Akins,5.479999924,,5,7000,PHI@HOU,HOU,PHI,,,
x,82605-94094:Brevin Jordan,82605-94094,TE,Brevin,Brevin Jordan,Jordan,1.299999952,0,4,6500,PHI@HOU,HOU,PHI,,,
x,82605-33047:Chris Moore,82605-33047,WR,Chris,Chris Moore,Moore,4.759999847,4,5,6500,PHI@HOU,HOU,PHI,,,
x,82605-28827:Dare Ogunbowale,82605-28827,RB,Dare,Dare Ogunbowale,Ogunbowale,4.599999905,0,2,6000,PHI@HOU,HOU,PHI,,,
x,82605-39286:O.J. Howard,82605-39286,TE,O.J.,O.J. Howard,Howard,4.183333397,0,6,6000,PHI@HOU,HOU,PHI,,,
,82605-86682:Grant Calcaterra,82605-86682,TE,Grant,Grant Calcaterra,Calcaterra,4.5,0,1,5500,PHI@HOU,PHI,HOU,,,
,82605-55970:Royce Freeman,82605-55970,RB,Royce,Royce Freeman,Freeman,2.690909126,0,11,5500,PHI@HOU,HOU,PHI,,,
,82605-90458:Troy Hairston,82605-90458,RB,Troy,Troy Hairston,Hairston,1.350000024,,2,5500,PHI@HOU,HOU,PHI,,,
,82605-86646:Trey Sermon,82605-86646,RB,Trey,Trey Sermon,Sermon,1.899999976,,1,5500,PHI@HOU,PHI,HOU,,,
,82605-86657:Kennedy Brooks,82605-86657,RB,Kennedy,Kennedy Brooks,Brooks,,,,5000,PHI@HOU,PHI,HOU,,,
,82605-43912:Chad Beebe,82605-43912,WR,Chad,Chad Beebe,Beebe,,,,5000,PHI@HOU,HOU,PHI,,,
,82605-27273:Andy Janovich,82605-27273,RB,Andy,Andy Janovich,Janovich,2.079999924,,5,5000,PHI@HOU,HOU,PHI,,,
,82605-41741:DaeSean Hamilton,82605-41741,WR,DaeSean,DaeSean Hamilton,Hamilton,0,,0,5000,PHI@HOU,HOU,PHI,Q,Knee,
,82605-88463:Johnny Johnson III,82605-88463,WR,Johnny,Johnny Johnson III,Johnson III,,,,5000,PHI@HOU,HOU,PHI,,,
,82605-88590:Scottie Phillips,82605-88590,RB,Scottie,Scottie Phillips,Phillips,1.600000024,,2,5000,PHI@HOU,HOU,PHI,,,
,82605-29715:Kevin Hogan,82605-29715,QB,Kevin,Kevin Hogan,Hogan,,,,5000,PHI@HOU,HOU,PHI,,,
x,82605-64147:Britain Covey,82605-64147,WR,Britain,Britain Covey,Covey,0,0,7,5000,PHI@HOU,PHI,HOU,,,
,82605-70680:Jalen Camp,82605-70680,WR,Jalen,Jalen Camp,Camp,,,,5000,PHI@HOU,HOU,PHI,,,
