keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
x,93677-63519:Daniel Jones,93677-63519,QB,Daniel,Daniel Jones,Jones,18.25777859,5,18,16500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
x,93677-31716:Dak Prescott,93677-31716,QB,Dak,Dak Prescott,Prescott,18.76000105,5,14,16000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,93677-64401:Saquon Barkley,93677-64401,RB,Saquon,Saquon Barkley,Barkley,16.11666701,5,18,14500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
x,93677-86631:CeeDee Lamb,93677-86631,WR,CeeDee,CeeDee Lamb,Lamb,14.74736906,4,19,14000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,93677-63759:Tony Pollard,93677-63759,RB,Tony,Tony Pollard,Pollard,13.55555556,5,18,13500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,93677-25011:Darren Waller,93677-25011,TE,Darren,Darren Waller,Waller,8.850000381,3,8,12000,DAL@NYG,NYG,DAL,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
x,93677-93055:Isaiah Hodgins,93677-93055,WR,Isaiah,Isaiah Hodgins,Hodgins,9.363636364,2,11,11000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
x,93677-29501:Brandin Cooks,93677-29501,WR,Brandin,Brandin Cooks,Cooks,9.00769219,3,13,10500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,93677-56262:Parris Campbell,93677-56262,WR,Parris,Parris Campbell,Campbell,6.917646969,1,17,10000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
x,93677-12530:Dallas Cowboys,93677-12530,D,Dallas,Dallas Cowboys,Cowboys,9.473684211,3,19,9500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
