year,week,day,favorites_city,underdog_city,Spread_Line,over_under_line,game_index
2022,5,Mon,KC,LV,-7,51.5,0
2022,5,Sun,BAL,CIN,-3.5,47.5,1
2022,5,Thu,DEN,IND,-3,42,2
2022,7,Mon,NE,CHI,-8.5,40.5,3
2022,7,Thu,ARI,NO,-2.5,44,4
2022,8,Mon,CIN,CLE,-3,45,5
2022,8,Sun,BUF,GB,-10.5,47,6
2022,8,Thu,TB,BAL,-1.5,45.5,7
2022,9,Mon,BAL,NO,-1.5,46.5,8
2022,9,Thu,PHI,HOU,-13.5,45.5,9
2022,11,Thu,GB,TEN,-3,41,10
2022,10,Sun,SF,LAC,-7.5,45,11
2022,11,Mon,SF,ARI,-8,43,12
2022,11,Sun,KC,LAC,-5,52.5,13
2022,12,Mon,IND,PIT,-2.5,39.5,14
2022,12,Sun,PHI,GB,-6.5,46,15
2022,13,Thu,BUF,NE,-3.5,43.5,16
2022,13,Mon,TB,NO,-3,41,17
2022,13,Sun,DAL,IND,-10.5,44.5,18
2022,14,Mon,NE,ARI,-1.5,43.5,19
2022,14,Sun,MIA,LAC,-3,53.5,20
2022,14,Thu,LV,LAR,-6,44.5,21
2022,15,Mon,GB,LAR,-7,39.5,22
2022,15,Sun,WAS,NYG,-4.5,40.5,23
2022,15,Thu,SF,SEA,-3,43,24
2022,16,Thu,NYJ,JAC,-2,37,25
2022,16,Mon,LAC,IND,-4,45.5,26
2022,17,Sun,BAL,PIT,-3.5,40.5,27
2022,17,Thu,DAL,TEN,-6,41.5,28
2022,18,Sat,JAC,TEN,-1.5,40.5,29
2023,1,Thu,KC,DET,-4,52.5,30
2023,1,Sun,DAL,NYG,-3.5,45.5,31
2023,1,Mon,BUF,NYJ,-2,45.5,32
