keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
x,93773-62239:Josh Allen,93773-62239,QB,Josh,Josh Allen,Allen,23.92000058,5,19,17500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-6894:Aaron Rodgers,93773-6894,QB,Aaron,Aaron Rodgers,Rodgers,14.77647041,5,17,16000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-25079:Stefon Diggs,93773-25079,WR,Stefon,Stefon Diggs,Diggs,15.08421085,5,19,14500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-103564:Garrett Wilson,93773-103564,WR,Garrett,Garrett Wilson,Wilson,10.24705864,4,17,13500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-103064:Breece Hall,93773-103064,RB,Breece,Breece Hall,Hall,15.08571407,2,7,12500,BUF@NYJ,NYJ,BUF,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
x,93773-54140:Dalvin Cook,93773-54140,RB,Dalvin,Dalvin Cook,Cook,12.6833335,4,18,12000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-94534:Gabe Davis,93773-94534,WR,Gabe,Gabe Davis,Davis,10.1352943,3,17,11500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-91626:James Cook,93773-91626,RB,James,James Cook,Cook,5.694736681,3,19,11000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-56809:Allen Lazard,93773-56809,WR,Allen,Allen Lazard,Lazard,9.653333537,3,15,10000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-64576:Damien Harris,93773-64576,RB,Damien,Damien Harris,Harris,7.49090923,3,11,9500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-12526:Buffalo Bills,93773-12526,D,Buffalo,Buffalo Bills,Bills,8.473684211,3,19,9500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-12544:New York Jets,93773-12544,D,New York,New York Jets,Jets,7.117647059,3,17,9000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-65128:Tyler Bass,93773-65128,K,Tyler,Tyler Bass,Bass,8.421052632,3,19,9000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-64585:Dawson Knox,93773-64585,TE,Dawson,Dawson Knox,Knox,7.65882335,3,17,8500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-60451:Tyler Conklin,93773-60451,TE,Tyler,Tyler Conklin,Conklin,6.029411765,3,17,8000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-22109:Greg Zuerlein,93773-22109,K,Greg,Greg Zuerlein,Zuerlein,8.176470588,3,17,8000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-14257:Randall Cobb,93773-14257,WR,Randall,Randall Cobb,Cobb,4.976922842,1,13,7500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-86518:Khalil Shakir,93773-86518,WR,Khalil,Khalil Shakir,Shakir,3.39166673,1,12,7500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-145558:Dalton Kincaid,93773-145558,TE,Dalton,Dalton Kincaid,Kincaid,,2,,7000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-71352:Mecole Hardman Jr.,93773-71352,WR,Mecole,Mecole Hardman Jr.,Hardman Jr.,9.333333333,2,9,7000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-93539:Michael Carter,93773-93539,RB,Michael,Michael Carter,Carter,6.59375,2,16,6500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-56059:Trent Sherfield,93773-56059,WR,Trent,Trent Sherfield,Sherfield,4.041176291,1,17,6500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-34331:Latavius Murray,93773-34331,RB,Latavius,Latavius Murray,Murray,10.82307669,1,13,6000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-31207:C.J. Uzomah,93773-31207,TE,C.J.,C.J. Uzomah,Uzomah,3.808333397,1,12,6000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-138643:Jason Brownlee,93773-138643,WR,Jason,Jason Brownlee,Brownlee,,0,,5500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-112455:Xavier Gipson,93773-112455,WR,Xavier,Xavier Gipson,Gipson,,0,,5500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-104176:Deonte Harty,93773-104176,WR,Deonte,Deonte Harty,Harty,0.075000003,0,4,5500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-87815:Jeremy Ruckert,93773-87815,TE,Jeremy,Jeremy Ruckert,Ruckert,0.649999976,0,2,5000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,93773-63625:Nyheim Hines,93773-63625,RB,Nyheim,Nyheim Hines,Hines,3.805555556,,18,5000,BUF@NYJ,BUF,NYJ,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
x,93773-90123:Quintin Morris,93773-90123,TE,Quintin,Quintin Morris,Morris,2.400000095,0,8,5000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,93773-64403:Irvin Charles,93773-64403,WR,Irvin,Irvin Charles,Charles,,0,,5000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,93773-62998:Jace Sternberger,93773-62998,TE,Jace,Jace Sternberger,Sternberger,,,,5000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,93773-70426:Reggie Gilliam,93773-70426,TE,Reggie,Reggie Gilliam,Gilliam,3.620000076,,5,5000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,93773-54817:Diontae Spencer,93773-54817,WR,Diontae,Diontae Spencer,Spencer,,,,5000,BUF@NYJ,NYJ,BUF,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
,93773-40482:Tim Boyle,93773-40482,QB,Tim,Tim Boyle,Boyle,-0.879999995,,1,5000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,93773-29605:Matt Barkley,93773-29605,QB,Matt,Matt Barkley,Barkley,,,,5000,BUF@NYJ,BUF,NYJ,Q,Elbow,,,,MVP - 1.5X Points/AnyFLEX
,93773-90406:Zach Wilson,93773-90406,QB,Zach,Zach Wilson,Wilson,11.71333313,,9,5000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,93773-85932:Isaiah Bowser,93773-85932,RB,Isaiah,Isaiah Bowser,Bowser,,,,5000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,93773-87473:Braydon Johnson,93773-87473,WR,Braydon,Braydon Johnson,Johnson,,,,5000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,93773-86203:Justin Shorter,93773-86203,WR,Justin,Justin Shorter,Shorter,,,,5000,BUF@NYJ,BUF,NYJ,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
,93773-151737:E.J. Jenkins,93773-151737,TE,E.J.,E.J. Jenkins,Jenkins,,,,5000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,93773-63419:Andy Isabella,93773-63419,WR,Andy,Andy Isabella,Isabella,1.066666683,,3,5000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
