0,1,2,3,4
93677-31716:Dak Prescott,93677-10744:Graham Gano,93677-189471:Brandon Aubrey,93677-29501:Brandin Cooks,93677-63759:Tony Pollard
93677-31716:Dak Prescott,93677-10744:Graham Gano,93677-12530:Dallas Cowboys,93677-29501:Brandin Cooks,93677-63759:Tony Pollard
93677-31716:Dak Prescott,93677-10744:Graham Gano,93677-63759:Tony Pollard,93677-86631:CeeDee Lamb,93677-89680:Jake Ferguson
93677-31716:Dak Prescott,93677-12530:Dallas Cowboys,93677-189471:Brandon Aubrey,93677-25011:Darren Waller,93677-63759:Tony Pollard
93677-31716:Dak Prescott,93677-12543:New York Giants,93677-189471:Brandon Aubrey,93677-29501:Brandin Cooks,93677-63759:Tony Pollard
93677-31716:Dak Prescott,93677-137254:Deuce Vaughn,93677-189471:Brandon Aubrey,93677-63759:Tony Pollard,93677-64401:Saquon Barkley
93677-31716:Dak Prescott,93677-12530:Dallas Cowboys,93677-189471:Brandon Aubrey,93677-29501:Brandin Cooks,93677-64401:Saquon Barkley
93677-31716:Dak Prescott,93677-10744:Graham Gano,93677-189471:Brandon Aubrey,93677-29501:Brandin Cooks,93677-86631:CeeDee Lamb
93677-31716:Dak Prescott,93677-189471:Brandon Aubrey,93677-29501:Brandin Cooks,93677-63759:Tony Pollard,93677-93055:Isaiah Hodgins
93677-31716:Dak Prescott,93677-189471:Brandon Aubrey,93677-29501:Brandin Cooks,93677-64401:Saquon Barkley,93677-89680:Jake Ferguson
93677-31716:Dak Prescott,93677-12530:Dallas Cowboys,93677-189471:Brandon Aubrey,93677-63759:Tony Pollard,93677-93055:Isaiah Hodgins
93677-31716:Dak Prescott,93677-189471:Brandon Aubrey,93677-53303:Matt Breida,93677-63759:Tony Pollard,93677-86631:CeeDee Lamb
93677-31716:Dak Prescott,93677-189471:Brandon Aubrey,93677-27477:Sterling Shepard,93677-63759:Tony Pollard,93677-86631:CeeDee Lamb
93677-31716:Dak Prescott,93677-10744:Graham Gano,93677-137254:Deuce Vaughn,93677-63759:Tony Pollard,93677-86631:CeeDee Lamb
93677-31716:Dak Prescott,93677-12530:Dallas Cowboys,93677-189471:Brandon Aubrey,93677-63519:Daniel Jones,93677-89680:Jake Ferguson
93677-86631:CeeDee Lamb,93677-10744:Graham Gano,93677-31716:Dak Prescott,93677-63759:Tony Pollard,93677-89680:Jake Ferguson
