QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,Instructions,,,,,,,,,,,,,,,,,
92765-26483:Geno Smith,92765-103342:Kenneth Walker III,92765-89956:Travis Etienne Jr.,92765-112745:Drake London,92765-27050:Tyler Lockett,92765-64555:Calvin Ridley,92765-26355:Logan Thomas,92765-90562:Brian Robinson Jr.,92765-12554:Jacksonville Jaguars,,1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
92765-26483:Geno Smith,92765-103342:Kenneth Walker III,92765-87787:J.K. Dobbins,92765-112745:Drake London,92765-66008:Diontae Johnson,92765-85671:Justin Jefferson,92765-71705:Noah Fant,92765-90562:Brian Robinson Jr.,92765-12554:Jacksonville Jaguars,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
92765-89951:Trevor Lawrence,92765-103342:Kenneth Walker III,92765-90562:Brian Robinson Jr.,92765-55635:Chris Godwin,92765-60858:Christian Kirk,92765-64555:Calvin Ridley,92765-71705:Noah Fant,92765-73048:DK Metcalf,92765-12552:Washington Commanders,,3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,,,,,
92765-69189:Justin Herbert,92765-103342:Kenneth Walker III,92765-52442:Joe Mixon,92765-112745:Drake London,92765-60858:Christian Kirk,92765-64555:Calvin Ridley,92765-71705:Noah Fant,92765-90562:Brian Robinson Jr.,92765-12550:Seattle Seahawks,,4) Maximum of 250 lineups per upload,,,,,,,,,,,,,,,,,
92765-69189:Justin Herbert,92765-103342:Kenneth Walker III,92765-52442:Joe Mixon,92765-112745:Drake London,92765-60858:Christian Kirk,92765-64555:Calvin Ridley,92765-57299:Gerald Everett,92765-90562:Brian Robinson Jr.,92765-12555:Baltimore Ravens,,,,,,,,,,,,,,,,,,,
92765-26483:Geno Smith,92765-103342:Kenneth Walker III,92765-90562:Brian Robinson Jr.,92765-112745:Drake London,92765-55635:Chris Godwin,92765-64555:Calvin Ridley,92765-57299:Gerald Everett,92765-85671:Justin Jefferson,92765-12550:Seattle Seahawks,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
92765-26483:Geno Smith,92765-52442:Joe Mixon,92765-90562:Brian Robinson Jr.,92765-112745:Drake London,92765-60858:Christian Kirk,92765-64555:Calvin Ridley,92765-26355:Logan Thomas,92765-87770:Chris Olave,92765-12550:Seattle Seahawks,,92765-85671:Justin Jefferson,92765-85671,WR,Justin,Justin Jefferson,Jefferson,17.3766666,18,9500,TB@MIN,MIN,TB,,,,,,WR/FLEX
92765-69189:Justin Herbert,92765-52442:Joe Mixon,92765-90562:Brian Robinson Jr.,92765-27050:Tyler Lockett,92765-55635:Chris Godwin,92765-60858:Christian Kirk,92765-57299:Gerald Everett,92765-87770:Chris Olave,92765-12554:Jacksonville Jaguars,,92765-79970:Cooper Kupp,92765-79970,WR,Cooper,Cooper Kupp,Kupp,18.21111043,9,9300,LAR@SEA,LAR,SEA,O,Hamstring,,,,WR/FLEX
92765-69189:Justin Herbert,92765-103342:Kenneth Walker III,92765-52442:Joe Mixon,92765-60858:Christian Kirk,92765-64555:Calvin Ridley,92765-87770:Chris Olave,92765-57299:Gerald Everett,92765-90562:Brian Robinson Jr.,92765-12550:Seattle Seahawks,,92765-55050:Christian McCaffrey,92765-55050,RB,Christian,Christian McCaffrey,McCaffrey,18.38800049,20,9200,SF@PIT,SF,PIT,,,,,,RB/FLEX
92765-69189:Justin Herbert,92765-103342:Kenneth Walker III,92765-90562:Brian Robinson Jr.,92765-55635:Chris Godwin,92765-60858:Christian Kirk,92765-66008:Diontae Johnson,92765-26355:Logan Thomas,92765-87770:Chris Olave,92765-12554:Jacksonville Jaguars,,92765-80001:Austin Ekeler,92765-80001,RB,Austin,Austin Ekeler,Ekeler,18.69444444,18,9000,MIA@LAC,LAC,MIA,,,,,,RB/FLEX
92765-26483:Geno Smith,92765-52442:Joe Mixon,92765-90562:Brian Robinson Jr.,92765-27050:Tyler Lockett,92765-64555:Calvin Ridley,92765-73048:DK Metcalf,92765-26355:Logan Thomas,92765-87770:Chris Olave,92765-12552:Washington Commanders,,92765-69531:Jalen Hurts,92765-69531,QB,Jalen,Jalen Hurts,Hurts,25.75,18,9000,PHI@NE,PHI,NE,,,,,,QB
92765-26483:Geno Smith,92765-52442:Joe Mixon,92765-90562:Brian Robinson Jr.,92765-27050:Tyler Lockett,92765-64555:Calvin Ridley,92765-73048:DK Metcalf,92765-71705:Noah Fant,92765-87770:Chris Olave,92765-12554:Jacksonville Jaguars,,92765-63115:Lamar Jackson,92765-63115,QB,Lamar,Lamar Jackson,Jackson,20.25666682,12,8900,HOU@BAL,BAL,HOU,,,,,,QB
92765-69189:Justin Herbert,92765-103342:Kenneth Walker III,92765-90562:Brian Robinson Jr.,92765-64555:Calvin Ridley,92765-66008:Diontae Johnson,92765-73048:DK Metcalf,92765-71705:Noah Fant,92765-87770:Chris Olave,92765-12552:Washington Commanders,,92765-53681:Tyreek Hill,92765-53681,WR,Tyreek,Tyreek Hill,Hill,16.70000034,18,8800,MIA@LAC,MIA,LAC,,,,,,WR/FLEX
92765-26483:Geno Smith,92765-103342:Kenneth Walker III,92765-87787:J.K. Dobbins,92765-60858:Christian Kirk,92765-64555:Calvin Ridley,92765-87770:Chris Olave,92765-26355:Logan Thomas,92765-90562:Brian Robinson Jr.,92765-12552:Washington Commanders,,92765-53562:Nick Chubb,92765-53562,RB,Nick,Nick Chubb,Chubb,15.75882317,17,8600,CIN@CLE,CLE,CIN,,,,,,RB/FLEX
92765-69189:Justin Herbert,92765-87787:J.K. Dobbins,92765-89956:Travis Etienne Jr.,92765-60858:Christian Kirk,92765-64555:Calvin Ridley,92765-87770:Chris Olave,92765-71705:Noah Fant,92765-90562:Brian Robinson Jr.,92765-12552:Washington Commanders,,92765-39280:Derrick Henry,92765-39280,RB,Derrick,Derrick Henry,Henry,17.89125061,16,8500,TEN@NO,TEN,NO,,,,,,RB/FLEX
92765-26483:Geno Smith,92765-103342:Kenneth Walker III,92765-87787:J.K. Dobbins,92765-112745:Drake London,92765-64555:Calvin Ridley,92765-87770:Chris Olave,92765-57299:Gerald Everett,92765-90562:Brian Robinson Jr.,92765-12550:Seattle Seahawks,,92765-85701:Ja'Marr Chase,92765-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.21333313,15,8500,CIN@CLE,CIN,CLE,,,,,,WR/FLEX
92765-69189:Justin Herbert,92765-87787:J.K. Dobbins,92765-90562:Brian Robinson Jr.,92765-60858:Christian Kirk,92765-66008:Diontae Johnson,92765-73048:DK Metcalf,92765-57299:Gerald Everett,92765-87770:Chris Olave,92765-12550:Seattle Seahawks,,92765-72731:Josh Jacobs,92765-72731,RB,Josh,Josh Jacobs,Jacobs,17.75294046,17,8400,LV@DEN,LV,DEN,,,,,,RB/FLEX
92765-69189:Justin Herbert,92765-87787:J.K. Dobbins,92765-90562:Brian Robinson Jr.,92765-112745:Drake London,92765-27050:Tyler Lockett,92765-55635:Chris Godwin,92765-71705:Noah Fant,92765-87770:Chris Olave,92765-12554:Jacksonville Jaguars,,92765-91591:Justin Fields,92765-91591,QB,Justin,Justin Fields,Fields,20.46533407,15,8300,GB@CHI,CHI,GB,,,,,,QB
92765-69189:Justin Herbert,92765-52442:Joe Mixon,92765-87787:J.K. Dobbins,92765-112745:Drake London,92765-60858:Christian Kirk,92765-87770:Chris Olave,92765-71705:Noah Fant,92765-90562:Brian Robinson Jr.,92765-12555:Baltimore Ravens,,92765-45889:Davante Adams,92765-45889,WR,Davante,Davante Adams,Adams,16.79411765,17,8200,LV@DEN,LV,DEN,,,,,,WR/FLEX
92765-69189:Justin Herbert,92765-52442:Joe Mixon,92765-87787:J.K. Dobbins,92765-27050:Tyler Lockett,92765-60858:Christian Kirk,92765-64555:Calvin Ridley,92765-71705:Noah Fant,92765-90562:Brian Robinson Jr.,92765-12554:Jacksonville Jaguars,,92765-72846:A.J. Brown,92765-72846,WR,A.J.,A.J. Brown,Brown,14.13500061,20,8100,PHI@NE,PHI,NE,,,,,,WR/FLEX
92765-69189:Justin Herbert,92765-87787:J.K. Dobbins,92765-90562:Brian Robinson Jr.,92765-27050:Tyler Lockett,92765-55635:Chris Godwin,92765-60858:Christian Kirk,92765-57299:Gerald Everett,92765-64555:Calvin Ridley,92765-12554:Jacksonville Jaguars,,92765-69189:Justin Herbert,92765-69189,QB,Justin,Justin Herbert,Herbert,17.02111138,18,8100,MIA@LAC,LAC,MIA,,,,,,QB
92765-69189:Justin Herbert,92765-87787:J.K. Dobbins,92765-90562:Brian Robinson Jr.,92765-112745:Drake London,92765-60858:Christian Kirk,92765-66008:Diontae Johnson,92765-57299:Gerald Everett,92765-73048:DK Metcalf,92765-12554:Jacksonville Jaguars,,92765-29253:Keenan Allen,92765-29253,WR,Keenan,Keenan Allen,Allen,12.73636419,11,8000,MIA@LAC,LAC,MIA,,,,,,WR/FLEX
92765-69189:Justin Herbert,92765-103342:Kenneth Walker III,92765-87787:J.K. Dobbins,92765-64555:Calvin Ridley,92765-66008:Diontae Johnson,92765-73048:DK Metcalf,92765-26355:Logan Thomas,92765-90562:Brian Robinson Jr.,92765-12554:Jacksonville Jaguars,,92765-52436:Mark Andrews,92765-52436,TE,Mark,Mark Andrews,Andrews,10.23750019,16,8000,HOU@BAL,BAL,HOU,Q,Quadriceps,,,,TE/FLEX
92765-26483:Geno Smith,92765-52442:Joe Mixon,92765-87787:J.K. Dobbins,92765-64555:Calvin Ridley,92765-66008:Diontae Johnson,92765-73048:DK Metcalf,92765-26355:Logan Thomas,92765-90562:Brian Robinson Jr.,92765-12554:Jacksonville Jaguars,,92765-89675:Jonathan Taylor,92765-89675,RB,Jonathan,Jonathan Taylor,Taylor,12.03636308,11,8000,JAC@IND,IND,JAC,NA,Ankle,,,,RB/FLEX
92765-26483:Geno Smith,92765-103342:Kenneth Walker III,92765-87787:J.K. Dobbins,92765-64555:Calvin Ridley,92765-66008:Diontae Johnson,92765-73048:DK Metcalf,92765-26355:Logan Thomas,92765-90562:Brian Robinson Jr.,92765-12555:Baltimore Ravens,,92765-89951:Trevor Lawrence,92765-89951,QB,Trevor,Trevor Lawrence,Lawrence,18.11684217,19,8000,JAC@IND,JAC,IND,,,,,,QB
92765-26483:Geno Smith,92765-87787:J.K. Dobbins,92765-90562:Brian Robinson Jr.,92765-60858:Christian Kirk,92765-64555:Calvin Ridley,92765-66008:Diontae Johnson,92765-57299:Gerald Everett,92765-73048:DK Metcalf,92765-12554:Jacksonville Jaguars,,92765-90573:Jaylen Waddle,92765-90573,WR,Jaylen,Jaylen Waddle,Waddle,12.68888855,18,7900,MIA@LAC,MIA,LAC,,,,,,WR/FLEX
