,0,1,2,3,4,5,Team1,Team2,Team3,Team4,Team5,keep,team1_team2_count
0,19.0,93784-25079:Stefon Diggs,93784-40126:Austin Hooper,93784-45889:Davante Adams,93784-62239:Josh Allen,93784-91578:Zamir White,BUF,LV,LV,BUF,LV,Yes,2:3
1,19.0,93784-25079:Stefon Diggs,93784-40126:Austin Hooper,93784-54604:Jimmy Garoppolo,93784-62239:Josh Allen,93784-91578:Zamir White,BUF,LV,LV,BUF,LV,Yes,2:3
2,18.0,93784-104176:Deonte Harty,93784-45889:Davante Adams,93784-54604:Jimmy Garoppolo,93784-62239:Josh Allen,93784-91578:Zamir White,BUF,LV,LV,BUF,LV,Yes,2:3
3,19.0,93784-145558:Dalton Kincaid,93784-45889:Davante Adams,93784-54604:Jimmy Garoppolo,93784-62239:Josh Allen,93784-91578:Zamir White,BUF,LV,LV,BUF,LV,Yes,2:3
4,18.0,93784-12537:Las Vegas Raiders,93784-45889:Davante Adams,93784-54604:Jimmy Garoppolo,93784-62239:Josh Allen,93784-91578:Zamir White,LV,LV,LV,BUF,LV,Yes,1:4
5,19.0,93784-40126:Austin Hooper,93784-45889:Davante Adams,93784-54604:Jimmy Garoppolo,93784-62239:Josh Allen,93784-91578:Zamir White,LV,LV,LV,BUF,LV,Yes,1:4
6,17.0,93784-34331:Latavius Murray,93784-45889:Davante Adams,93784-54604:Jimmy Garoppolo,93784-62239:Josh Allen,93784-91578:Zamir White,BUF,LV,LV,BUF,LV,Yes,2:3
7,19.0,93784-45889:Davante Adams,93784-54604:Jimmy Garoppolo,93784-57986:Hunter Renfrow,93784-62239:Josh Allen,93784-91578:Zamir White,LV,LV,LV,BUF,LV,Yes,1:4
8,17.0,93784-25079:Stefon Diggs,93784-34331:Latavius Murray,93784-45889:Davante Adams,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,BUF,LV,LV,LV,Yes,2:3
9,20.0,93784-12526:Buffalo Bills,93784-25079:Stefon Diggs,93784-45889:Davante Adams,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,BUF,LV,LV,LV,Yes,2:3
10,18.0,93784-104176:Deonte Harty,93784-25079:Stefon Diggs,93784-45889:Davante Adams,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,BUF,LV,LV,LV,Yes,2:3
11,19.0,93784-145558:Dalton Kincaid,93784-25079:Stefon Diggs,93784-45889:Davante Adams,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,BUF,LV,LV,LV,Yes,2:3
12,18.0,93784-12537:Las Vegas Raiders,93784-25079:Stefon Diggs,93784-45889:Davante Adams,93784-72731:Josh Jacobs,93784-91578:Zamir White,LV,BUF,LV,LV,LV,Yes,1:4
13,19.0,93784-25079:Stefon Diggs,93784-40126:Austin Hooper,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,LV,BUF,LV,LV,Yes,2:3
14,19.0,93784-25079:Stefon Diggs,93784-57986:Hunter Renfrow,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,LV,BUF,LV,LV,Yes,2:3
15,19.0,93784-45889:Davante Adams,93784-57986:Hunter Renfrow,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,LV,LV,BUF,LV,LV,Yes,1:4
16,19.0,93784-54604:Jimmy Garoppolo,93784-57986:Hunter Renfrow,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,LV,LV,BUF,LV,LV,Yes,1:4
17,17.0,93784-25079:Stefon Diggs,93784-34331:Latavius Murray,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,BUF,BUF,LV,LV,Yes,3:2
18,20.0,93784-12526:Buffalo Bills,93784-54604:Jimmy Garoppolo,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,LV,BUF,LV,LV,Yes,2:3
19,18.0,93784-104176:Deonte Harty,93784-54604:Jimmy Garoppolo,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,LV,BUF,LV,LV,Yes,2:3
20,19.0,93784-145558:Dalton Kincaid,93784-54604:Jimmy Garoppolo,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,LV,BUF,LV,LV,Yes,2:3
21,18.0,93784-12537:Las Vegas Raiders,93784-54604:Jimmy Garoppolo,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,LV,LV,BUF,LV,LV,Yes,1:4
22,17.0,93784-34331:Latavius Murray,93784-54604:Jimmy Garoppolo,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,LV,BUF,LV,LV,Yes,2:3
23,20.0,93784-12526:Buffalo Bills,93784-45889:Davante Adams,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,LV,BUF,LV,LV,Yes,2:3
24,18.0,93784-104176:Deonte Harty,93784-45889:Davante Adams,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,LV,BUF,LV,LV,Yes,2:3
25,19.0,93784-145558:Dalton Kincaid,93784-45889:Davante Adams,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,BUF,LV,BUF,LV,LV,Yes,2:3
26,18.0,93784-12537:Las Vegas Raiders,93784-45889:Davante Adams,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,LV,LV,BUF,LV,LV,Yes,1:4
27,19.0,93784-40126:Austin Hooper,93784-45889:Davante Adams,93784-62239:Josh Allen,93784-72731:Josh Jacobs,93784-91578:Zamir White,LV,LV,BUF,LV,LV,Yes,1:4
