,0,1,2,3,4,5,Team1,Team2,Team3,Team4,Team5,keep,team1_team2_count
0,20.0,93996-12547:Pittsburgh Steelers,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-88575:Elijah Moore,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
1,19.0,93996-112057:Jaylen Warren,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-88575:Elijah Moore,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
2,20.0,93996-28643:Allen Robinson II,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-88575:Elijah Moore,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
3,18.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-54879:Deshaun Watson,93996-88575:Elijah Moore,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
4,18.0,93996-31001:Amari Cooper,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-88575:Elijah Moore,Chris Boswell,CLE,CLE,PIT,CLE,PIT,Yes,3:2
5,18.0,93996-31001:Amari Cooper,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,93996-88575:Elijah Moore,Chris Boswell,CLE,CLE,PIT,CLE,PIT,Yes,3:2
6,19.0,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-55335:David Njoku,93996-88575:Elijah Moore,Chris Boswell,CLE,CLE,CLE,CLE,PIT,Yes,4:1
7,18.0,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-70601:Harrison Bryant,93996-88575:Elijah Moore,Chris Boswell,CLE,CLE,CLE,CLE,PIT,Yes,4:1
8,18.0,93996-12529:Cleveland Browns,93996-31001:Amari Cooper,93996-53562:Nick Chubb,93996-88575:Elijah Moore,Chris Boswell,CLE,CLE,CLE,CLE,PIT,Yes,4:1
9,18.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-53562:Nick Chubb,93996-88575:Elijah Moore,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
10,19.0,93996-12547:Pittsburgh Steelers,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-90870:Calvin Austin III,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
11,19.0,93996-12529:Cleveland Browns,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-90870:Calvin Austin III,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
12,17.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-54879:Deshaun Watson,93996-90870:Calvin Austin III,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
13,19.0,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-88575:Elijah Moore,93996-90870:Calvin Austin III,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
14,19.0,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,93996-90870:Calvin Austin III,Chris Boswell,CLE,CLE,PIT,PIT,PIT,Yes,2:3
15,18.0,93996-110246:George Pickens,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-90870:Calvin Austin III,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
16,18.0,93996-110246:George Pickens,93996-54879:Deshaun Watson,93996-90575:Najee Harris,93996-90870:Calvin Austin III,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
17,18.0,93996-31001:Amari Cooper,93996-54879:Deshaun Watson,93996-90575:Najee Harris,93996-90870:Calvin Austin III,Chris Boswell,CLE,CLE,PIT,PIT,PIT,Yes,2:3
18,17.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-53562:Nick Chubb,93996-90870:Calvin Austin III,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
19,19.0,93996-12547:Pittsburgh Steelers,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-55335:David Njoku,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
20,18.0,93996-112057:Jaylen Warren,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-55335:David Njoku,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
21,19.0,93996-12529:Cleveland Browns,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-55335:David Njoku,Chris Boswell,CLE,CLE,CLE,CLE,PIT,Yes,4:1
22,19.0,93996-28643:Allen Robinson II,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-55335:David Njoku,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
23,17.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-54879:Deshaun Watson,93996-55335:David Njoku,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
24,17.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-53562:Nick Chubb,93996-55335:David Njoku,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
25,19.0,93996-12547:Pittsburgh Steelers,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-91426:Donovan Peoples-Jones,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
26,18.0,93996-112057:Jaylen Warren,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-91426:Donovan Peoples-Jones,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
27,19.0,93996-12529:Cleveland Browns,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-91426:Donovan Peoples-Jones,Chris Boswell,CLE,CLE,CLE,CLE,PIT,Yes,4:1
28,19.0,93996-28643:Allen Robinson II,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-91426:Donovan Peoples-Jones,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
29,17.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-54879:Deshaun Watson,93996-91426:Donovan Peoples-Jones,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
30,19.0,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-88575:Elijah Moore,93996-91426:Donovan Peoples-Jones,Chris Boswell,CLE,CLE,CLE,CLE,PIT,Yes,4:1
31,17.0,93996-31001:Amari Cooper,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-91426:Donovan Peoples-Jones,Chris Boswell,CLE,CLE,PIT,CLE,PIT,Yes,3:2
32,18.0,93996-12547:Pittsburgh Steelers,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-91426:Donovan Peoples-Jones,Chris Boswell,PIT,CLE,PIT,CLE,PIT,Yes,2:3
33,18.0,93996-12529:Cleveland Browns,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-91426:Donovan Peoples-Jones,Chris Boswell,CLE,CLE,PIT,CLE,PIT,Yes,3:2
34,18.0,93996-12529:Cleveland Browns,93996-54879:Deshaun Watson,93996-90575:Najee Harris,93996-91426:Donovan Peoples-Jones,Chris Boswell,CLE,CLE,PIT,CLE,PIT,Yes,3:2
35,18.0,93996-110246:George Pickens,93996-54879:Deshaun Watson,93996-90575:Najee Harris,93996-91426:Donovan Peoples-Jones,Chris Boswell,PIT,CLE,PIT,CLE,PIT,Yes,2:3
36,18.0,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,93996-91426:Donovan Peoples-Jones,Chris Boswell,CLE,PIT,PIT,CLE,PIT,Yes,2:3
37,18.0,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,93996-91426:Donovan Peoples-Jones,Chris Boswell,CLE,PIT,PIT,CLE,PIT,Yes,2:3
38,18.0,93996-53562:Nick Chubb,93996-88575:Elijah Moore,93996-90575:Najee Harris,93996-91426:Donovan Peoples-Jones,Chris Boswell,CLE,CLE,PIT,CLE,PIT,Yes,3:2
39,18.0,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-55335:David Njoku,93996-91426:Donovan Peoples-Jones,Chris Boswell,CLE,CLE,CLE,CLE,PIT,Yes,4:1
40,17.0,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-90533:Jerome Ford,93996-91426:Donovan Peoples-Jones,Chris Boswell,CLE,CLE,CLE,CLE,PIT,Yes,4:1
41,18.0,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-90870:Calvin Austin III,93996-91426:Donovan Peoples-Jones,Chris Boswell,CLE,CLE,PIT,CLE,PIT,Yes,3:2
42,17.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-53562:Nick Chubb,93996-91426:Donovan Peoples-Jones,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
43,18.0,93996-12547:Pittsburgh Steelers,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-70601:Harrison Bryant,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
44,18.0,93996-12529:Cleveland Browns,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-70601:Harrison Bryant,Chris Boswell,CLE,CLE,CLE,CLE,PIT,Yes,4:1
45,16.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-53562:Nick Chubb,93996-70601:Harrison Bryant,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
46,18.0,93996-12547:Pittsburgh Steelers,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-90533:Jerome Ford,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
47,18.0,93996-12529:Cleveland Browns,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-90533:Jerome Ford,Chris Boswell,CLE,CLE,CLE,CLE,PIT,Yes,4:1
48,18.0,93996-28643:Allen Robinson II,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-90533:Jerome Ford,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
49,16.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-54879:Deshaun Watson,93996-90533:Jerome Ford,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
50,18.0,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-88575:Elijah Moore,93996-90533:Jerome Ford,Chris Boswell,CLE,CLE,CLE,CLE,PIT,Yes,4:1
51,18.0,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,93996-90533:Jerome Ford,Chris Boswell,CLE,CLE,PIT,CLE,PIT,Yes,3:2
52,17.0,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-55335:David Njoku,93996-90533:Jerome Ford,Chris Boswell,CLE,CLE,CLE,CLE,PIT,Yes,4:1
53,16.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-53562:Nick Chubb,93996-90533:Jerome Ford,Chris Boswell,PIT,CLE,CLE,CLE,PIT,Yes,3:2
54,19.0,93996-112057:Jaylen Warren,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
55,20.0,93996-28643:Allen Robinson II,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
56,18.0,93996-12547:Pittsburgh Steelers,93996-31001:Amari Cooper,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
57,18.0,93996-12529:Cleveland Browns,93996-31001:Amari Cooper,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
58,19.0,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-55335:David Njoku,93996-86244:Pat Freiermuth,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
59,18.0,93996-53562:Nick Chubb,93996-54879:Deshaun Watson,93996-70601:Harrison Bryant,93996-86244:Pat Freiermuth,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
60,18.0,93996-12547:Pittsburgh Steelers,93996-31001:Amari Cooper,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
61,18.0,93996-12529:Cleveland Browns,93996-31001:Amari Cooper,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
62,19.0,93996-110246:George Pickens,93996-28643:Allen Robinson II,93996-54879:Deshaun Watson,93996-90575:Najee Harris,Chris Boswell,PIT,PIT,CLE,PIT,PIT,Yes,1:4
63,19.0,93996-12529:Cleveland Browns,93996-12547:Pittsburgh Steelers,93996-54879:Deshaun Watson,93996-90575:Najee Harris,Chris Boswell,CLE,PIT,CLE,PIT,PIT,Yes,2:3
64,18.0,93996-110246:George Pickens,93996-112057:Jaylen Warren,93996-54879:Deshaun Watson,93996-90575:Najee Harris,Chris Boswell,PIT,PIT,CLE,PIT,PIT,Yes,1:4
65,19.0,93996-12547:Pittsburgh Steelers,93996-53562:Nick Chubb,93996-88575:Elijah Moore,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
66,19.0,93996-12529:Cleveland Browns,93996-53562:Nick Chubb,93996-88575:Elijah Moore,93996-90575:Najee Harris,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
67,17.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-88575:Elijah Moore,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
68,19.0,93996-12547:Pittsburgh Steelers,93996-54879:Deshaun Watson,93996-88575:Elijah Moore,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
69,19.0,93996-12529:Cleveland Browns,93996-54879:Deshaun Watson,93996-88575:Elijah Moore,93996-90575:Najee Harris,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
70,19.0,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-88575:Elijah Moore,93996-90575:Najee Harris,Chris Boswell,CLE,PIT,CLE,PIT,PIT,Yes,2:3
71,19.0,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,93996-88575:Elijah Moore,93996-90575:Najee Harris,Chris Boswell,CLE,PIT,CLE,PIT,PIT,Yes,2:3
72,19.0,93996-12547:Pittsburgh Steelers,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
73,18.0,93996-112057:Jaylen Warren,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
74,19.0,93996-12529:Cleveland Browns,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,Chris Boswell,CLE,CLE,PIT,PIT,PIT,Yes,2:3
75,19.0,93996-28643:Allen Robinson II,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
76,17.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
77,19.0,93996-12547:Pittsburgh Steelers,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
78,19.0,93996-12529:Cleveland Browns,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,Chris Boswell,CLE,CLE,PIT,PIT,PIT,Yes,2:3
79,19.0,93996-28643:Allen Robinson II,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
80,18.0,93996-53562:Nick Chubb,93996-55335:David Njoku,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,Chris Boswell,CLE,CLE,PIT,PIT,PIT,Yes,2:3
81,18.0,93996-54879:Deshaun Watson,93996-55335:David Njoku,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,Chris Boswell,CLE,CLE,PIT,PIT,PIT,Yes,2:3
82,18.0,93996-12529:Cleveland Browns,93996-53562:Nick Chubb,93996-55335:David Njoku,93996-90575:Najee Harris,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
83,18.0,93996-110246:George Pickens,93996-53562:Nick Chubb,93996-55335:David Njoku,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
84,18.0,93996-110246:George Pickens,93996-54879:Deshaun Watson,93996-55335:David Njoku,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
85,17.0,93996-110246:George Pickens,93996-53562:Nick Chubb,93996-90533:Jerome Ford,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
86,17.0,93996-110246:George Pickens,93996-54879:Deshaun Watson,93996-90533:Jerome Ford,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
87,17.0,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-90533:Jerome Ford,93996-90575:Najee Harris,Chris Boswell,CLE,PIT,CLE,PIT,PIT,Yes,2:3
88,17.0,93996-110246:George Pickens,93996-53562:Nick Chubb,93996-70601:Harrison Bryant,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
89,17.0,93996-31001:Amari Cooper,93996-53562:Nick Chubb,93996-70601:Harrison Bryant,93996-90575:Najee Harris,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
90,17.0,93996-110246:George Pickens,93996-54879:Deshaun Watson,93996-70601:Harrison Bryant,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
91,17.0,93996-31001:Amari Cooper,93996-54879:Deshaun Watson,93996-70601:Harrison Bryant,93996-90575:Najee Harris,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
92,19.0,93996-12529:Cleveland Browns,93996-28643:Allen Robinson II,93996-53562:Nick Chubb,93996-90575:Najee Harris,Chris Boswell,CLE,PIT,CLE,PIT,PIT,Yes,2:3
93,19.0,93996-110246:George Pickens,93996-28643:Allen Robinson II,93996-53562:Nick Chubb,93996-90575:Najee Harris,Chris Boswell,PIT,PIT,CLE,PIT,PIT,Yes,1:4
94,19.0,93996-12529:Cleveland Browns,93996-12547:Pittsburgh Steelers,93996-53562:Nick Chubb,93996-90575:Najee Harris,Chris Boswell,CLE,PIT,CLE,PIT,PIT,Yes,2:3
95,18.0,93996-110246:George Pickens,93996-112057:Jaylen Warren,93996-53562:Nick Chubb,93996-90575:Najee Harris,Chris Boswell,PIT,PIT,CLE,PIT,PIT,Yes,1:4
96,17.0,93996-110246:George Pickens,93996-12547:Pittsburgh Steelers,93996-31001:Amari Cooper,93996-90575:Najee Harris,Chris Boswell,PIT,PIT,CLE,PIT,PIT,Yes,1:4
97,17.0,93996-110246:George Pickens,93996-12529:Cleveland Browns,93996-31001:Amari Cooper,93996-90575:Najee Harris,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
98,19.0,93996-12529:Cleveland Browns,93996-28643:Allen Robinson II,93996-54879:Deshaun Watson,93996-92020:Kenny Pickett,Chris Boswell,CLE,PIT,CLE,PIT,PIT,Yes,2:3
99,19.0,93996-110246:George Pickens,93996-28643:Allen Robinson II,93996-54879:Deshaun Watson,93996-92020:Kenny Pickett,Chris Boswell,PIT,PIT,CLE,PIT,PIT,Yes,1:4
100,19.0,93996-12529:Cleveland Browns,93996-12547:Pittsburgh Steelers,93996-54879:Deshaun Watson,93996-92020:Kenny Pickett,Chris Boswell,CLE,PIT,CLE,PIT,PIT,Yes,2:3
101,18.0,93996-110246:George Pickens,93996-112057:Jaylen Warren,93996-54879:Deshaun Watson,93996-92020:Kenny Pickett,Chris Boswell,PIT,PIT,CLE,PIT,PIT,Yes,1:4
102,19.0,93996-12547:Pittsburgh Steelers,93996-53562:Nick Chubb,93996-88575:Elijah Moore,93996-92020:Kenny Pickett,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
103,19.0,93996-12529:Cleveland Browns,93996-53562:Nick Chubb,93996-88575:Elijah Moore,93996-92020:Kenny Pickett,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
104,19.0,93996-28643:Allen Robinson II,93996-53562:Nick Chubb,93996-88575:Elijah Moore,93996-92020:Kenny Pickett,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
105,17.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-88575:Elijah Moore,93996-92020:Kenny Pickett,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
106,19.0,93996-12547:Pittsburgh Steelers,93996-54879:Deshaun Watson,93996-88575:Elijah Moore,93996-92020:Kenny Pickett,Chris Boswell,PIT,CLE,CLE,PIT,PIT,Yes,2:3
107,19.0,93996-12529:Cleveland Browns,93996-54879:Deshaun Watson,93996-88575:Elijah Moore,93996-92020:Kenny Pickett,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
108,19.0,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-88575:Elijah Moore,93996-92020:Kenny Pickett,Chris Boswell,CLE,PIT,CLE,PIT,PIT,Yes,2:3
109,19.0,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,93996-88575:Elijah Moore,93996-92020:Kenny Pickett,Chris Boswell,CLE,PIT,CLE,PIT,PIT,Yes,2:3
110,18.0,93996-53562:Nick Chubb,93996-55335:David Njoku,93996-88575:Elijah Moore,93996-92020:Kenny Pickett,Chris Boswell,CLE,CLE,CLE,PIT,PIT,Yes,3:2
111,19.0,93996-12547:Pittsburgh Steelers,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-92020:Kenny Pickett,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
112,18.0,93996-112057:Jaylen Warren,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-92020:Kenny Pickett,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
113,19.0,93996-12529:Cleveland Browns,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-92020:Kenny Pickett,Chris Boswell,CLE,CLE,PIT,PIT,PIT,Yes,2:3
114,19.0,93996-28643:Allen Robinson II,93996-53562:Nick Chubb,93996-86244:Pat Freiermuth,93996-92020:Kenny Pickett,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
115,17.0,93996-110246:George Pickens,93996-31001:Amari Cooper,93996-86244:Pat Freiermuth,93996-92020:Kenny Pickett,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
116,19.0,93996-12547:Pittsburgh Steelers,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,93996-92020:Kenny Pickett,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
117,18.0,93996-112057:Jaylen Warren,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,93996-92020:Kenny Pickett,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
118,19.0,93996-12529:Cleveland Browns,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,93996-92020:Kenny Pickett,Chris Boswell,CLE,CLE,PIT,PIT,PIT,Yes,2:3
119,19.0,93996-28643:Allen Robinson II,93996-54879:Deshaun Watson,93996-86244:Pat Freiermuth,93996-92020:Kenny Pickett,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
120,18.0,93996-53562:Nick Chubb,93996-55335:David Njoku,93996-86244:Pat Freiermuth,93996-92020:Kenny Pickett,Chris Boswell,CLE,CLE,PIT,PIT,PIT,Yes,2:3
121,18.0,93996-54879:Deshaun Watson,93996-55335:David Njoku,93996-86244:Pat Freiermuth,93996-92020:Kenny Pickett,Chris Boswell,CLE,CLE,PIT,PIT,PIT,Yes,2:3
123,17.0,93996-112057:Jaylen Warren,93996-31001:Amari Cooper,93996-90575:Najee Harris,93996-92020:Kenny Pickett,Chris Boswell,PIT,CLE,PIT,PIT,PIT,Yes,1:4
