,0,1,2,3,4,5,Team1,Team2,Team3,Team4,Team5,keep,team1_team2_count
0,18.0,93784-129315:Anthony Richardson,93784-129471:C.J. Stroud,93784-58041:Mike Boone,93784-86055:Dameon Pierce,Ka'imi Fairbairn,IND,HOU,HOU,HOU,HOU,Yes,4:1
2,20.0,93784-12535:Indianapolis Colts,93784-129471:C.J. Stroud,93784-29685:Robert Woods,93784-86055:Dameon Pierce,Ka'imi Fairbairn,IND,HOU,HOU,HOU,HOU,Yes,4:1
3,21.0,93784-12556:Houston Texans,93784-129315:Anthony Richardson,93784-29685:Robert Woods,93784-86055:Dameon Pierce,Ka'imi Fairbairn,HOU,IND,HOU,HOU,HOU,Yes,4:1
4,19.0,93784-129305:Josh Downs,93784-129315:Anthony Richardson,93784-29685:Robert Woods,93784-86055:Dameon Pierce,Ka'imi Fairbairn,IND,IND,HOU,HOU,HOU,Yes,3:2
5,19.0,93784-129291:Tank Dell,93784-129315:Anthony Richardson,93784-29685:Robert Woods,93784-86055:Dameon Pierce,Ka'imi Fairbairn,HOU,IND,HOU,HOU,HOU,Yes,4:1
6,20.0,93784-12556:Houston Texans,93784-129471:C.J. Stroud,93784-69213:Michael Pittman Jr.,93784-86055:Dameon Pierce,Ka'imi Fairbairn,HOU,HOU,IND,HOU,HOU,Yes,4:1
7,18.0,93784-129305:Josh Downs,93784-129471:C.J. Stroud,93784-69213:Michael Pittman Jr.,93784-86055:Dameon Pierce,Ka'imi Fairbairn,IND,HOU,IND,HOU,HOU,Yes,3:2
8,18.0,93784-129291:Tank Dell,93784-129471:C.J. Stroud,93784-69213:Michael Pittman Jr.,93784-86055:Dameon Pierce,Ka'imi Fairbairn,HOU,HOU,IND,HOU,HOU,Yes,4:1
9,20.0,93784-12535:Indianapolis Colts,93784-29685:Robert Woods,93784-69213:Michael Pittman Jr.,93784-86055:Dameon Pierce,Ka'imi Fairbairn,IND,HOU,IND,HOU,HOU,Yes,3:2
10,19.0,93784-129315:Anthony Richardson,93784-24533:Mo Alie-Cox,93784-69213:Michael Pittman Jr.,93784-86055:Dameon Pierce,Ka'imi Fairbairn,IND,IND,IND,HOU,HOU,Yes,2:3
11,18.0,93784-129471:C.J. Stroud,93784-24533:Mo Alie-Cox,93784-69213:Michael Pittman Jr.,93784-86055:Dameon Pierce,Ka'imi Fairbairn,HOU,IND,IND,HOU,HOU,Yes,3:2
12,18.0,93784-129315:Anthony Richardson,93784-58041:Mike Boone,93784-69213:Michael Pittman Jr.,93784-86055:Dameon Pierce,Ka'imi Fairbairn,IND,HOU,IND,HOU,HOU,Yes,3:2
13,18.0,93784-129471:C.J. Stroud,93784-55042:Dalton Schultz,93784-69213:Michael Pittman Jr.,93784-86055:Dameon Pierce,Ka'imi Fairbairn,HOU,HOU,IND,HOU,HOU,Yes,4:1
14,19.0,93784-129315:Anthony Richardson,93784-29685:Robert Woods,93784-55042:Dalton Schultz,93784-86055:Dameon Pierce,Ka'imi Fairbairn,IND,HOU,HOU,HOU,HOU,Yes,4:1
15,19.0,93784-12535:Indianapolis Colts,93784-129315:Anthony Richardson,93784-55042:Dalton Schultz,93784-86055:Dameon Pierce,Ka'imi Fairbairn,IND,IND,HOU,HOU,HOU,Yes,3:2
16,19.0,93784-12556:Houston Texans,93784-129471:C.J. Stroud,93784-70027:Zack Moss,93784-86055:Dameon Pierce,Ka'imi Fairbairn,HOU,HOU,IND,HOU,HOU,Yes,4:1
17,19.0,93784-12535:Indianapolis Colts,93784-129471:C.J. Stroud,93784-70027:Zack Moss,93784-86055:Dameon Pierce,Ka'imi Fairbairn,IND,HOU,IND,HOU,HOU,Yes,3:2
18,19.0,93784-12535:Indianapolis Colts,93784-69213:Michael Pittman Jr.,93784-70027:Zack Moss,93784-86055:Dameon Pierce,Ka'imi Fairbairn,IND,IND,IND,HOU,HOU,Yes,2:3
19,19.0,93784-29685:Robert Woods,93784-69213:Michael Pittman Jr.,93784-70027:Zack Moss,93784-86055:Dameon Pierce,Ka'imi Fairbairn,HOU,IND,IND,HOU,HOU,Yes,3:2
20,18.0,93784-129315:Anthony Richardson,93784-24533:Mo Alie-Cox,93784-70027:Zack Moss,93784-86055:Dameon Pierce,Ka'imi Fairbairn,IND,IND,IND,HOU,HOU,Yes,2:3
21,18.0,93784-129315:Anthony Richardson,93784-55042:Dalton Schultz,93784-70027:Zack Moss,93784-86055:Dameon Pierce,Ka'imi Fairbairn,IND,HOU,IND,HOU,HOU,Yes,3:2
22,17.0,93784-129471:C.J. Stroud,93784-55042:Dalton Schultz,93784-70027:Zack Moss,93784-86055:Dameon Pierce,Ka'imi Fairbairn,HOU,HOU,IND,HOU,HOU,Yes,4:1
