,0,1,2,3,4,5,Team1,Team2,Team3,Team4,Team5,keep,team1_team2_count
0,21.0,93784-104278:Donald Parham Jr.,93784-39280:Derrick Henry,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,LAC,TEN,LAC,LAC,LAC,Yes,4:1
1,20.0,93784-107293:Tyjae Spears,93784-39280:Derrick Henry,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,LAC,LAC,LAC,Yes,3:2
2,19.0,93784-120639:Quentin Johnston,93784-39280:Derrick Henry,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,LAC,TEN,LAC,LAC,LAC,Yes,4:1
4,21.0,93784-12534:Tennessee Titans,93784-29253:Keenan Allen,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,TEN,LAC,LAC,LAC,LAC,Yes,4:1
6,19.0,93784-110259:Treylon Burks,93784-29253:Keenan Allen,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,TEN,LAC,LAC,LAC,LAC,Yes,4:1
7,19.0,93784-107293:Tyjae Spears,93784-16606:DeAndre Hopkins,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,LAC,LAC,LAC,Yes,3:2
8,18.0,93784-120639:Quentin Johnston,93784-16606:DeAndre Hopkins,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,LAC,TEN,LAC,LAC,LAC,Yes,4:1
9,21.0,93784-12534:Tennessee Titans,93784-16606:DeAndre Hopkins,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,LAC,LAC,LAC,Yes,3:2
10,20.0,93784-12548:Los Angeles Chargers,93784-16606:DeAndre Hopkins,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,LAC,TEN,LAC,LAC,LAC,Yes,4:1
11,19.0,93784-110259:Treylon Burks,93784-16606:DeAndre Hopkins,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,LAC,LAC,LAC,Yes,3:2
12,20.0,93784-104278:Donald Parham Jr.,93784-21948:Ryan Tannehill,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,LAC,TEN,LAC,LAC,LAC,Yes,4:1
13,19.0,93784-107293:Tyjae Spears,93784-21948:Ryan Tannehill,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,LAC,LAC,LAC,Yes,3:2
14,18.0,93784-120639:Quentin Johnston,93784-21948:Ryan Tannehill,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,LAC,TEN,LAC,LAC,LAC,Yes,4:1
15,21.0,93784-12534:Tennessee Titans,93784-21948:Ryan Tannehill,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,LAC,LAC,LAC,Yes,3:2
16,20.0,93784-12548:Los Angeles Chargers,93784-21948:Ryan Tannehill,93784-39829:Mike Williams,93784-69189:Justin Herbert,Cameron Dicker,LAC,TEN,LAC,LAC,LAC,Yes,4:1
17,18.0,93784-120639:Quentin Johnston,93784-39280:Derrick Henry,93784-64389:Nick Westbrook-Ikhine,93784-69189:Justin Herbert,Cameron Dicker,LAC,TEN,TEN,LAC,LAC,Yes,3:2
18,21.0,93784-12534:Tennessee Titans,93784-39280:Derrick Henry,93784-64389:Nick Westbrook-Ikhine,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,TEN,LAC,LAC,Yes,2:3
19,20.0,93784-12548:Los Angeles Chargers,93784-39280:Derrick Henry,93784-64389:Nick Westbrook-Ikhine,93784-69189:Justin Herbert,Cameron Dicker,LAC,TEN,TEN,LAC,LAC,Yes,3:2
20,19.0,93784-110259:Treylon Burks,93784-39280:Derrick Henry,93784-64389:Nick Westbrook-Ikhine,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,TEN,LAC,LAC,Yes,2:3
21,20.0,93784-16606:DeAndre Hopkins,93784-29253:Keenan Allen,93784-64389:Nick Westbrook-Ikhine,93784-69189:Justin Herbert,Cameron Dicker,TEN,LAC,TEN,LAC,LAC,Yes,3:2
22,18.0,93784-110259:Treylon Burks,93784-16606:DeAndre Hopkins,93784-64389:Nick Westbrook-Ikhine,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,TEN,LAC,LAC,Yes,2:3
23,18.0,93784-110259:Treylon Burks,93784-21948:Ryan Tannehill,93784-64389:Nick Westbrook-Ikhine,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,TEN,LAC,LAC,Yes,2:3
24,20.0,93784-29253:Keenan Allen,93784-39829:Mike Williams,93784-64389:Nick Westbrook-Ikhine,93784-69189:Justin Herbert,Cameron Dicker,LAC,LAC,TEN,LAC,LAC,Yes,4:1
25,20.0,93784-16606:DeAndre Hopkins,93784-39829:Mike Williams,93784-64389:Nick Westbrook-Ikhine,93784-69189:Justin Herbert,Cameron Dicker,TEN,LAC,TEN,LAC,LAC,Yes,3:2
26,20.0,93784-39280:Derrick Henry,93784-57299:Gerald Everett,93784-64389:Nick Westbrook-Ikhine,93784-69189:Justin Herbert,Cameron Dicker,TEN,LAC,TEN,LAC,LAC,Yes,3:2
27,19.0,93784-21948:Ryan Tannehill,93784-57299:Gerald Everett,93784-64389:Nick Westbrook-Ikhine,93784-69189:Justin Herbert,Cameron Dicker,TEN,LAC,TEN,LAC,LAC,Yes,3:2
28,18.0,93784-120639:Quentin Johnston,93784-39280:Derrick Henry,93784-57299:Gerald Everett,93784-69189:Justin Herbert,Cameron Dicker,LAC,TEN,LAC,LAC,LAC,Yes,4:1
29,21.0,93784-12534:Tennessee Titans,93784-39280:Derrick Henry,93784-57299:Gerald Everett,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,LAC,LAC,LAC,Yes,3:2
30,20.0,93784-12548:Los Angeles Chargers,93784-39280:Derrick Henry,93784-57299:Gerald Everett,93784-69189:Justin Herbert,Cameron Dicker,LAC,TEN,LAC,LAC,LAC,Yes,4:1
31,19.0,93784-110259:Treylon Burks,93784-39280:Derrick Henry,93784-57299:Gerald Everett,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,LAC,LAC,LAC,Yes,3:2
32,20.0,93784-16606:DeAndre Hopkins,93784-29253:Keenan Allen,93784-57299:Gerald Everett,93784-69189:Justin Herbert,Cameron Dicker,TEN,LAC,LAC,LAC,LAC,Yes,4:1
33,18.0,93784-110259:Treylon Burks,93784-16606:DeAndre Hopkins,93784-57299:Gerald Everett,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,LAC,LAC,LAC,Yes,3:2
34,18.0,93784-110259:Treylon Burks,93784-21948:Ryan Tannehill,93784-57299:Gerald Everett,93784-69189:Justin Herbert,Cameron Dicker,TEN,TEN,LAC,LAC,LAC,Yes,3:2
36,20.0,93784-16606:DeAndre Hopkins,93784-39829:Mike Williams,93784-57299:Gerald Everett,93784-69189:Justin Herbert,Cameron Dicker,TEN,LAC,LAC,LAC,LAC,Yes,4:1
37,21.0,93784-104278:Donald Parham Jr.,93784-29253:Keenan Allen,93784-39280:Derrick Henry,93784-69189:Justin Herbert,Cameron Dicker,LAC,LAC,TEN,LAC,LAC,Yes,4:1
38,20.0,93784-107293:Tyjae Spears,93784-29253:Keenan Allen,93784-39280:Derrick Henry,93784-69189:Justin Herbert,Cameron Dicker,TEN,LAC,TEN,LAC,LAC,Yes,3:2
39,19.0,93784-185878:Elijah Dotson,93784-29253:Keenan Allen,93784-39280:Derrick Henry,93784-69189:Justin Herbert,Cameron Dicker,LAC,LAC,TEN,LAC,LAC,Yes,4:1
