,0,1,2,3,4,5,Team1,Team2,Team3,Team4,Team5,keep,team1_team2_count
0,21.0,93976-42046:Durham Smythe,93976-53681:Tyreek Hill,93976-56265:Mike Gesicki,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,MIA,MIA,NE,MIA,NE,Yes,3:2
1,21.0,93976-111540:Rhamondre Stevenson,93976-52767:Jason Sanders,93976-56265:Mike Gesicki,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,MIA,NE,MIA,NE,Yes,2:3
2,20.0,93976-111540:Rhamondre Stevenson,93976-52495:Braxton Berrios,93976-56265:Mike Gesicki,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,MIA,NE,MIA,NE,Yes,2:3
3,20.0,93976-111540:Rhamondre Stevenson,93976-55987:JuJu Smith-Schuster,93976-56265:Mike Gesicki,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,NE,NE,MIA,NE,Yes,1:4
4,21.0,93976-28744:Raheem Mostert,93976-40845:Hunter Henry,93976-56265:Mike Gesicki,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,MIA,NE,NE,MIA,NE,Yes,2:3
5,21.0,93976-111540:Rhamondre Stevenson,93976-40845:Hunter Henry,93976-56265:Mike Gesicki,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,NE,NE,MIA,NE,Yes,1:4
6,20.0,93976-111540:Rhamondre Stevenson,93976-41997:River Cracraft,93976-56265:Mike Gesicki,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,MIA,NE,MIA,NE,Yes,2:3
7,21.0,93976-111540:Rhamondre Stevenson,93976-38791:Ezekiel Elliott,93976-56265:Mike Gesicki,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,NE,NE,MIA,NE,Yes,1:4
8,20.0,93976-111540:Rhamondre Stevenson,93976-12541:New England Patriots,93976-56265:Mike Gesicki,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,NE,NE,MIA,NE,Yes,1:4
9,19.0,93976-111540:Rhamondre Stevenson,93976-33260:DeVante Parker,93976-56265:Mike Gesicki,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,NE,NE,MIA,NE,Yes,1:4
10,20.0,93976-12539:Miami Dolphins,93976-28744:Raheem Mostert,93976-56265:Mike Gesicki,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,MIA,MIA,NE,MIA,NE,Yes,3:2
11,20.0,93976-111540:Rhamondre Stevenson,93976-12539:Miami Dolphins,93976-56265:Mike Gesicki,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,MIA,NE,MIA,NE,Yes,2:3
12,19.0,93976-111540:Rhamondre Stevenson,93976-111876:Demario Douglas,93976-56265:Mike Gesicki,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,NE,NE,MIA,NE,Yes,1:4
13,21.0,93976-12539:Miami Dolphins,93976-52767:Jason Sanders,93976-80289:Kendrick Bourne,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,MIA,MIA,NE,MIA,NE,Yes,3:2
14,21.0,93976-12541:New England Patriots,93976-52767:Jason Sanders,93976-80289:Kendrick Bourne,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,MIA,NE,MIA,NE,Yes,2:3
15,22.0,93976-40845:Hunter Henry,93976-52767:Jason Sanders,93976-80289:Kendrick Bourne,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,MIA,NE,MIA,NE,Yes,2:3
16,21.0,93976-28744:Raheem Mostert,93976-52495:Braxton Berrios,93976-80289:Kendrick Bourne,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,MIA,MIA,NE,MIA,NE,Yes,3:2
17,21.0,93976-40845:Hunter Henry,93976-52495:Braxton Berrios,93976-80289:Kendrick Bourne,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,MIA,NE,MIA,NE,Yes,2:3
18,21.0,93976-28744:Raheem Mostert,93976-56265:Mike Gesicki,93976-80289:Kendrick Bourne,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,MIA,NE,NE,MIA,NE,Yes,2:3
19,20.0,93976-12539:Miami Dolphins,93976-55987:JuJu Smith-Schuster,93976-80289:Kendrick Bourne,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,MIA,NE,NE,MIA,NE,Yes,2:3
20,20.0,93976-12541:New England Patriots,93976-55987:JuJu Smith-Schuster,93976-80289:Kendrick Bourne,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,NE,NE,MIA,NE,Yes,1:4
21,21.0,93976-40845:Hunter Henry,93976-55987:JuJu Smith-Schuster,93976-80289:Kendrick Bourne,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,NE,NE,MIA,NE,Yes,1:4
22,21.0,93976-52767:Jason Sanders,93976-55987:JuJu Smith-Schuster,93976-80289:Kendrick Bourne,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,MIA,NE,NE,MIA,NE,Yes,2:3
23,22.0,93976-38791:Ezekiel Elliott,93976-40845:Hunter Henry,93976-80289:Kendrick Bourne,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,NE,NE,MIA,NE,Yes,1:4
24,21.0,93976-12539:Miami Dolphins,93976-40845:Hunter Henry,93976-80289:Kendrick Bourne,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,MIA,NE,NE,MIA,NE,Yes,2:3
25,21.0,93976-12541:New England Patriots,93976-40845:Hunter Henry,93976-80289:Kendrick Bourne,93976-90573:Jaylen Waddle,93976-90584:Mac Jones,NE,NE,NE,MIA,NE,Yes,1:4
