,0,1,2,3,4,5,Team1,Team2,Team3,Team4,Team5,keep,team1_team2_count
0,21.0,93996-45631:Jamaal Williams,93996-45859:Derek Carr,93996-64808:Juwan Johnson,93996-71845:Miles Sanders,Blake Grupe,NO,NO,NO,CAR,NO,Yes,4:1
1,19.0,93996-170287:Rashid Shaheed,93996-45859:Derek Carr,93996-64808:Juwan Johnson,93996-71845:Miles Sanders,Blake Grupe,NO,NO,NO,CAR,NO,Yes,4:1
2,19.0,93996-28573:Michael Thomas,93996-45859:Derek Carr,93996-64808:Juwan Johnson,93996-71845:Miles Sanders,Blake Grupe,NO,NO,NO,CAR,NO,Yes,4:1
3,19.0,93996-119606:Bryce Young,93996-45631:Jamaal Williams,93996-64808:Juwan Johnson,93996-71845:Miles Sanders,Blake Grupe,CAR,NO,NO,CAR,NO,Yes,3:2
4,17.0,93996-119606:Bryce Young,93996-170287:Rashid Shaheed,93996-64808:Juwan Johnson,93996-71845:Miles Sanders,Blake Grupe,CAR,NO,NO,CAR,NO,Yes,3:2
5,19.0,93996-170287:Rashid Shaheed,93996-45859:Derek Carr,93996-64031:Hayden Hurst,93996-71845:Miles Sanders,Blake Grupe,NO,NO,CAR,CAR,NO,Yes,3:2
6,19.0,93996-28573:Michael Thomas,93996-45859:Derek Carr,93996-64031:Hayden Hurst,93996-71845:Miles Sanders,Blake Grupe,NO,NO,CAR,CAR,NO,Yes,3:2
7,19.0,93996-119606:Bryce Young,93996-45631:Jamaal Williams,93996-64031:Hayden Hurst,93996-71845:Miles Sanders,Blake Grupe,CAR,NO,CAR,CAR,NO,Yes,2:3
8,19.0,93996-170287:Rashid Shaheed,93996-45631:Jamaal Williams,93996-64031:Hayden Hurst,93996-71845:Miles Sanders,Blake Grupe,NO,NO,CAR,CAR,NO,Yes,3:2
9,17.0,93996-119606:Bryce Young,93996-170287:Rashid Shaheed,93996-64031:Hayden Hurst,93996-71845:Miles Sanders,Blake Grupe,CAR,NO,CAR,CAR,NO,Yes,2:3
10,17.0,93996-119606:Bryce Young,93996-28573:Michael Thomas,93996-64031:Hayden Hurst,93996-71845:Miles Sanders,Blake Grupe,CAR,NO,CAR,CAR,NO,Yes,2:3
11,18.0,93996-170287:Rashid Shaheed,93996-45859:Derek Carr,93996-52917:DJ Chark Jr.,93996-71845:Miles Sanders,Blake Grupe,NO,NO,CAR,CAR,NO,Yes,3:2
12,18.0,93996-28573:Michael Thomas,93996-45859:Derek Carr,93996-52917:DJ Chark Jr.,93996-71845:Miles Sanders,Blake Grupe,NO,NO,CAR,CAR,NO,Yes,3:2
