,0,1,2,3,4,5,Team1,Team2,Team3,Team4,Team5,keep,team1_team2_count
0,24.0,93784-12530:Dallas Cowboys,93784-12544:New York Jets,93784-63759:Tony Pollard,93784-86631:CeeDee Lamb,Brandon Aubrey,DAL,NYJ,DAL,DAL,DAL,Yes,4:1
1,23.0,93784-12530:Dallas Cowboys,93784-56809:Allen Lazard,93784-63759:Tony Pollard,93784-86631:CeeDee Lamb,Brandon Aubrey,DAL,NYJ,DAL,DAL,DAL,Yes,4:1
2,21.0,93784-54140:Dalvin Cook,93784-56809:Allen Lazard,93784-63759:Tony Pollard,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,NYJ,DAL,DAL,DAL,Yes,3:2
3,22.0,93784-12544:New York Jets,93784-54140:Dalvin Cook,93784-63759:Tony Pollard,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,NYJ,DAL,DAL,DAL,Yes,3:2
4,20.0,93784-103564:Garrett Wilson,93784-31207:C.J. Uzomah,93784-63759:Tony Pollard,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,NYJ,DAL,DAL,DAL,Yes,3:2
5,20.0,93784-103064:Breece Hall,93784-31207:C.J. Uzomah,93784-63759:Tony Pollard,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,NYJ,DAL,DAL,DAL,Yes,3:2
6,20.0,93784-103564:Garrett Wilson,93784-14257:Randall Cobb,93784-63759:Tony Pollard,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,NYJ,DAL,DAL,DAL,Yes,3:2
7,20.0,93784-103064:Breece Hall,93784-14257:Randall Cobb,93784-63759:Tony Pollard,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,NYJ,DAL,DAL,DAL,Yes,3:2
8,21.0,93784-103564:Garrett Wilson,93784-60957:KaVontae Turpin,93784-63759:Tony Pollard,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,DAL,DAL,DAL,DAL,Yes,4:1
9,21.0,93784-103064:Breece Hall,93784-60957:KaVontae Turpin,93784-63759:Tony Pollard,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,DAL,DAL,DAL,DAL,Yes,4:1
10,22.0,93784-103064:Breece Hall,93784-60451:Tyler Conklin,93784-63759:Tony Pollard,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,NYJ,DAL,DAL,DAL,Yes,3:2
11,21.0,93784-54140:Dalvin Cook,93784-60451:Tyler Conklin,93784-63759:Tony Pollard,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,NYJ,DAL,DAL,DAL,Yes,3:2
