,0,1,2,3,4,5,Team1,Team2,Team3,Team4,Team5,keep,team1_team2_count
0,19.0,93782-63855:K.J. Osborn,93782-63907:Josh Oliver,93782-69531:Jalen Hurts,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,MIN,PHI,PHI,MIN,Yes,2:3
1,17.0,93782-129210:Jordan Addison,93782-63907:Josh Oliver,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,MIN,MIN,PHI,MIN,Yes,1:4
2,20.0,93782-63855:K.J. Osborn,93782-71706:T.J. Hockenson,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,MIN,MIN,PHI,MIN,Yes,1:4
3,19.0,93782-12540:Minnesota Vikings,93782-71706:T.J. Hockenson,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,MIN,MIN,PHI,MIN,Yes,1:4
4,21.0,93782-41235:Jake Elliott,93782-71706:T.J. Hockenson,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,PHI,MIN,MIN,PHI,MIN,Yes,2:3
5,18.0,93782-43433:Boston Scott,93782-71706:T.J. Hockenson,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,PHI,MIN,MIN,PHI,MIN,Yes,2:3
6,20.0,93782-12545:Philadelphia Eagles,93782-71706:T.J. Hockenson,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,PHI,MIN,MIN,PHI,MIN,Yes,2:3
7,20.0,93782-55515:Greg Joseph,93782-71706:T.J. Hockenson,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,MIN,MIN,PHI,MIN,Yes,1:4
8,17.0,93782-12545:Philadelphia Eagles,93782-43433:Boston Scott,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,PHI,PHI,MIN,PHI,MIN,Yes,3:2
9,17.0,93782-129210:Jordan Addison,93782-43433:Boston Scott,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,PHI,MIN,PHI,MIN,Yes,2:3
10,19.0,93782-129210:Jordan Addison,93782-63855:K.J. Osborn,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,MIN,MIN,PHI,MIN,Yes,1:4
11,20.0,93782-41235:Jake Elliott,93782-55515:Greg Joseph,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,PHI,MIN,MIN,PHI,MIN,Yes,2:3
12,19.0,93782-12545:Philadelphia Eagles,93782-55515:Greg Joseph,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,PHI,MIN,MIN,PHI,MIN,Yes,2:3
13,19.0,93782-129210:Jordan Addison,93782-55515:Greg Joseph,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,MIN,MIN,PHI,MIN,Yes,1:4
14,19.0,93782-12540:Minnesota Vikings,93782-41235:Jake Elliott,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,PHI,MIN,PHI,MIN,Yes,2:3
15,20.0,93782-12545:Philadelphia Eagles,93782-41235:Jake Elliott,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,PHI,PHI,MIN,PHI,MIN,Yes,3:2
16,20.0,93782-129210:Jordan Addison,93782-41235:Jake Elliott,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,PHI,MIN,PHI,MIN,Yes,2:3
17,18.0,93782-12540:Minnesota Vikings,93782-129210:Jordan Addison,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,MIN,MIN,PHI,MIN,Yes,1:4
18,18.0,93782-12540:Minnesota Vikings,93782-12545:Philadelphia Eagles,93782-72776:Alexander Mattison,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,PHI,MIN,PHI,MIN,Yes,2:3
