keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,Tier,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier2,,,Roster Position
x,93784-55050:Christian McCaffrey,93784-55050,RB,Christian,Christian McCaffrey,McCaffrey,5,24.39999962,1,9500,SF@LAR,SF,LAR,,,,,,RB/FLEX
,93784-80001:Austin Ekeler,93784-80001,RB,Austin,Austin Ekeler,Ekeler,,24.39999962,1,9200,LAC@TEN,LAC,TEN,O,Ankle,,,,RB/FLEX
x,93784-62239:Josh Allen,93784-62239,QB,Josh,Josh Allen,Allen,,12.03999996,1,9200,LV@BUF,BUF,LV,,,,,,QB
,93784-57439:Patrick Mahomes,93784-57439,QB,Patrick,Patrick Mahomes,Mahomes,5,20.54000092,1,9000,KC@JAC,KC,JAC,,,,,,QB
,93784-64401:Saquon Barkley,93784-64401,RB,Saquon,Saquon Barkley,Barkley,,7.800000191,1,8800,NYG@ARI,NYG,ARI,,,,,,RB/FLEX
x,93784-33076:Travis Kelce,93784-33076,TE,Travis,Travis Kelce,Kelce,5,16.225,20,8500,KC@JAC,KC,JAC,Q,Knee,,,,TE/FLEX
x,93784-85701:Ja'Marr Chase,93784-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,5,6.599999905,1,8400,BAL@CIN,CIN,BAL,,,,,,WR/FLEX
,93784-39280:Derrick Henry,93784-39280,RB,Derrick,Derrick Henry,Henry,,12.89999962,1,8300,LAC@TEN,TEN,LAC,,,,,,RB/FLEX
x,93784-64555:Calvin Ridley,93784-64555,WR,Calvin,Calvin Ridley,Ridley,5,20.10000038,1,8300,KC@JAC,JAC,KC,,,,,,WR/FLEX
,93784-69189:Justin Herbert,93784-69189,QB,Justin,Justin Herbert,Herbert,,20.86000061,1,8200,LAC@TEN,LAC,TEN,,,,,,QB
,93784-89956:Travis Etienne Jr.,93784-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,,18.89999962,1,8200,KC@JAC,JAC,KC,,,,,,RB/FLEX
x,93784-86997:Amon-Ra St. Brown,93784-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,5,16.10000038,1,8100,SEA@DET,DET,SEA,,,,,,WR/FLEX
x,93784-136855:Bijan Robinson,93784-136855,RB,Bijan,Bijan Robinson,Robinson,5,17.29999924,1,8100,GB@ATL,ATL,GB,,,,,,RB/FLEX
x,93784-63759:Tony Pollard,93784-63759,RB,Tony,Tony Pollard,Pollard,5,21.20000076,1,8000,NYJ@DAL,DAL,NYJ,,,,,,RB/FLEX
x,93784-25079:Stefon Diggs,93784-25079,WR,Stefon,Stefon Diggs,Diggs,5,21.20000076,1,8000,LV@BUF,BUF,LV,,,,,,WR/FLEX
x,93784-52436:Mark Andrews,93784-52436,TE,Mark,Mark Andrews,Andrews,5,10.23750019,16,8000,BAL@CIN,BAL,CIN,Q,Quadriceps,,,,TE/FLEX
,93784-91591:Justin Fields,93784-91591,QB,Justin,Justin Fields,Fields,,15.53999996,1,8000,CHI@TB,CHI,TB,,,,,,QB
x,93784-29253:Keenan Allen,93784-29253,WR,Keenan,Keenan Allen,Allen,4,11.19999981,1,7800,LAC@TEN,LAC,TEN,,,,,,WR/FLEX
,93784-89951:Trevor Lawrence,93784-89951,QB,Trevor,Trevor Lawrence,Lawrence,,18.73999977,1,7800,KC@JAC,JAC,KC,,,,,,QB
x,93784-73048:DK Metcalf,93784-73048,WR,DK,DK Metcalf,Metcalf,4,12.19999981,1,7700,SEA@DET,SEA,DET,,,,,,WR/FLEX
x,93784-86631:CeeDee Lamb,93784-86631,WR,CeeDee,CeeDee Lamb,Lamb,4,9.699999809,1,7600,NYJ@DAL,DAL,NYJ,,,,,,WR/FLEX
,93784-40442:Aaron Jones,93784-40442,RB,Aaron,Aaron Jones,Jones,,25.70000076,1,7600,GB@ATL,GB,ATL,Q,Hamstring,,,,RB/FLEX
x,93784-63115:Lamar Jackson,93784-63115,QB,Lamar,Lamar Jackson,Jackson,5,7.559999943,1,7600,BAL@CIN,BAL,CIN,,,,,,QB
,93784-63519:Daniel Jones,93784-63519,QB,Daniel,Daniel Jones,Jones,,6.460000038,1,7500,NYG@ARI,NYG,ARI,,,,,,QB
,93784-129315:Anthony Richardson,93784-129315,QB,Anthony,Anthony Richardson,Richardson,,21.92000008,1,7500,IND@HOU,IND,HOU,,,,,,QB
x,93784-45889:Davante Adams,93784-45889,WR,Davante,Davante Adams,Adams,5,9.600000381,1,7500,LV@BUF,LV,BUF,,,,,,WR/FLEX
x,93784-72731:Josh Jacobs,93784-72731,RB,Josh,Josh Jacobs,Jacobs,5,8.100000381,1,7500,LV@BUF,LV,BUF,,,,,,RB/FLEX
,93784-85798:Brandon Aiyuk,93784-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,,28.89999962,1,7500,SF@LAR,SF,LAR,,,,,,WR/FLEX
,93784-31716:Dak Prescott,93784-31716,QB,Dak,Dak Prescott,Prescott,,6.320000172,1,7400,NYJ@DAL,DAL,NYJ,,,,,,QB
,93784-103564:Garrett Wilson,93784-103564,WR,Garrett,Garrett Wilson,Wilson,,11.89999962,1,7400,NYJ@DAL,NYJ,DAL,,,,,,WR/FLEX
,93784-63336:Joe Burrow,93784-63336,QB,Joe,Joe Burrow,Burrow,,3.180000067,1,7400,BAL@CIN,CIN,BAL,,,,,,QB
,93784-38435:Jared Goff,93784-38435,QB,Jared,Jared Goff,Goff,,14.02000046,1,7300,SEA@DET,DET,SEA,,,,,,QB
,93784-52442:Joe Mixon,93784-52442,RB,Joe,Joe Mixon,Mixon,,8.800000191,1,7200,BAL@CIN,CIN,BAL,,,,,,RB/FLEX
,93784-69017:Jordan Love,93784-69017,QB,Jordan,Jordan Love,Love,,23,1,7200,GB@ATL,GB,ATL,,,,,,QB
,93784-69213:Michael Pittman Jr.,93784-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,,19.70000076,1,7200,IND@HOU,IND,HOU,,,,,,WR/FLEX
,93784-16606:DeAndre Hopkins,93784-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,,10,1,7100,LAC@TEN,TEN,LAC,Q,Ankle,,,,WR/FLEX
x,93784-90428:Tyler Allgeier,93784-90428,RB,Tyler,Tyler Allgeier,Allgeier,5,22.89999962,1,7100,GB@ATL,ATL,GB,,,,,,RB/FLEX
,93784-22015:Russell Wilson,93784-22015,QB,Russell,Russell Wilson,Wilson,,15.18000031,1,7100,WAS@DEN,DEN,WAS,,,,,,QB
,93784-85607:Brock Purdy,93784-85607,QB,Brock,Brock Purdy,Purdy,,16.79999924,1,7100,SF@LAR,SF,LAR,,,,,,QB
,93784-32384:Mike Evans,93784-32384,WR,Mike,Mike Evans,Evans,,15.60000038,1,7100,CHI@TB,TB,CHI,,,,,,WR/FLEX
,93784-79970:Cooper Kupp,93784-79970,WR,Cooper,Cooper Kupp,Kupp,,18.21111043,9,7000,SF@LAR,LAR,SF,IR,Hamstring,,,,WR/FLEX
,93784-6894:Aaron Rodgers,93784-6894,QB,Aaron,Aaron Rodgers,Rodgers,,0,1,7000,NYJ@DAL,NYJ,DAL,IR,Achilles,,,,QB
x,93784-93107:AJ Dillon,93784-93107,RB,AJ,AJ Dillon,Dillon,4,4.599999905,1,7000,GB@ATL,GB,ATL,,,,,,RB/FLEX
,93784-89675:Jonathan Taylor,93784-89675,RB,Jonathan,Jonathan Taylor,Taylor,,12.03636308,11,7000,IND@HOU,IND,HOU,NA,Ankle,,,,RB/FLEX
x,93784-26483:Geno Smith,93784-26483,QB,Geno,Geno Smith,Smith,4,9.079999924,1,7000,SEA@DET,SEA,DET,,,,,,QB
x,93784-89981:Tee Higgins,93784-89981,WR,Tee,Tee Higgins,Higgins,4,0,1,7000,BAL@CIN,CIN,BAL,,,,,,WR/FLEX
,93784-104576:Sam Howell,93784-104576,QB,Sam,Sam Howell,Howell,,16.18000031,1,6900,WAS@DEN,WAS,DEN,,,,,,QB
,93784-103064:Breece Hall,93784-103064,RB,Breece,Breece Hall,Hall,,15.19999981,1,6900,NYJ@DAL,NYJ,DAL,Q,Knee,,,,RB/FLEX
,93784-56018:Deebo Samuel,93784-56018,WR,Deebo,Deebo Samuel,Samuel,,8.800000191,1,6900,SF@LAR,SF,LAR,,,,,,WR/FLEX
,93784-57403:Courtland Sutton,93784-57403,WR,Courtland,Courtland Sutton,Sutton,,11.19999981,1,6800,WAS@DEN,DEN,WAS,,,,,,WR/FLEX
,93784-61798:Gardner Minshew II,93784-61798,QB,Gardner,Gardner Minshew II,Minshew II,,0,1,6800,IND@HOU,IND,HOU,,,,,,QB
,93784-41535:Baker Mayfield,93784-41535,QB,Baker,Baker Mayfield,Mayfield,,16.02000046,1,6800,CHI@TB,TB,CHI,,,,,,QB
,93784-54140:Dalvin Cook,93784-54140,RB,Dalvin,Dalvin Cook,Cook,,7.400000095,1,6800,NYJ@DAL,NYJ,DAL,,,,,,RB/FLEX
,93784-90561:Jerry Jeudy,93784-90561,WR,Jerry,Jerry Jeudy,Jeudy,,11.3799998,15,6700,WAS@DEN,DEN,WAS,,,,,,WR/FLEX
x,93784-39829:Mike Williams,93784-39829,WR,Mike,Mike Williams,Williams,4,6.5,1,6700,LAC@TEN,LAC,TEN,,,,,,WR/FLEX
,93784-103342:Kenneth Walker III,93784-103342,RB,Kenneth,Kenneth Walker III,Walker III,,8.699999809,1,6700,SEA@DET,SEA,DET,,,,,,RB/FLEX
x,93784-54604:Jimmy Garoppolo,93784-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,4,16.10000038,1,6700,LV@BUF,LV,BUF,,,,,,QB
,93784-63634:Jakobi Meyers,93784-63634,WR,Jakobi,Jakobi Meyers,Meyers,,24.60000038,1,6600,LV@BUF,LV,BUF,O,Concussion,,,,WR/FLEX
