keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
x,93782-69531:Jalen Hurts,93782-69531,QB,Jalen,Jalen Hurts,Hurts,12.5,5,1,17500,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-85671:Justin Jefferson,93782-85671,WR,Justin,Justin Jefferson,Jefferson,19.5,5,1,16000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-22038:Kirk Cousins,93782-22038,QB,Kirk,Kirk Cousins,Cousins,17.45999908,5,1,15000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-72846:A.J. Brown,93782-72846,WR,A.J.,A.J. Brown,Brown,11.39999962,5,1,13000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-90576:DeVonta Smith,93782-90576,WR,DeVonta,DeVonta Smith,Smith,14.19999981,5,1,12500,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-72776:Alexander Mattison,93782-72776,RB,Alexander,Alexander Mattison,Mattison,11.89999962,3,1,11500,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-90912:Kenneth Gainwell,93782-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,9.399999619,,1,11000,MIN@PHI,PHI,MIN,O,Ribs,,,,MVP - 1.5X Points/AnyFLEX
x,93782-129210:Jordan Addison,93782-129210,WR,Jordan,Jordan Addison,Addison,14.10000038,3,1,10500,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-71706:T.J. Hockenson,93782-71706,TE,T.J.,T.J. Hockenson,Hockenson,7.5,4,1,10000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-12545:Philadelphia Eagles,93782-12545,D,Philadelphia,Philadelphia Eagles,Eagles,13,3,1,9500,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-83074:Dallas Goedert,93782-83074,TE,Dallas,Dallas Goedert,Goedert,0,4,1,9500,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-41235:Jake Elliott,93782-41235,K,Jake,Jake Elliott,Elliott,18,4,1,9000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-91598:D'Andre Swift,93782-91598,RB,D'Andre,D'Andre Swift,Swift,0.800000012,2,1,8500,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-55515:Greg Joseph,93782-55515,K,Greg,Greg Joseph,Joseph,5,3,1,8500,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-73687:Quez Watkins,93782-73687,WR,Quez,Quez Watkins,Watkins,2.700000048,1,1,8000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-12540:Minnesota Vikings,93782-12540,D,Minnesota,Minnesota Vikings,Vikings,2,2,1,8000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-43433:Boston Scott,93782-43433,RB,Boston,Boston Scott,Scott,1.5,1,1,7500,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-63855:K.J. Osborn,93782-63855,WR,K.J.,K.J. Osborn,Osborn,4.599999905,3,1,7000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-57840:Rashaad Penny,93782-57840,RB,Rashaad,Rashaad Penny,Penny,10.04000015,1,5,7000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-63907:Josh Oliver,93782-63907,TE,Josh,Josh Oliver,Oliver,4.699999809,1,1,6500,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-87371:Ty Chandler,93782-87371,RB,Ty,Ty Chandler,Chandler,2.299999952,1,1,6500,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-92859:Jalen Nailor,93782-92859,WR,Jalen,Jalen Nailor,Nailor,5.679999924,0,5,6000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-60930:Myles Gaskin,93782-60930,RB,Myles,Myles Gaskin,Gaskin,3.700000048,0,2,5500,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-69168:N'Keal Harry,93782-69168,WR,N'Keal,N'Keal Harry,Harry,3.51666673,,6,5500,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-70501:C.J. Ham,93782-70501,RB,C.J.,C.J. Ham,Ham,1.700000048,0,1,5500,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-64496:Olamide Zaccheaus,93782-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,5.625,0,16,5500,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-52345:Brandon Powell,93782-52345,WR,Brandon,Brandon Powell,Powell,0,0,1,5500,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-193538:Aaron Dykes,93782-193538,RB,Aaron,Aaron Dykes,Dykes,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-86657:Kennedy Brooks,93782-86657,RB,Kennedy,Kennedy Brooks,Brooks,,,,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-89607:Tanner McKee,93782-89607,QB,Tanner,Tanner McKee,McKee,,,,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-23435:Andrew DePaola,93782-23435,TE,Andrew,Andrew DePaola,DePaola,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-185744:Johnny King,93782-185744,WR,Johnny,Johnny King,King,,,,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
x,93782-64147:Britain Covey,93782-64147,WR,Britain,Britain Covey,Covey,0,0,1,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-88602:Jordan Ta'amu,93782-88602,QB,Jordan,Jordan Ta'amu,Ta'amu,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-86682:Grant Calcaterra,93782-86682,TE,Grant,Grant Calcaterra,Calcaterra,2.120000076,,5,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-93853:Thayer Thomas,93782-93853,WR,Thayer,Thayer Thomas,Thomas,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-73247:Kene Nwangwu,93782-73247,RB,Kene,Kene Nwangwu,Nwangwu,0.807692308,,13,5000,MIN@PHI,MIN,PHI,IR,Back,,,,MVP - 1.5X Points/AnyFLEX
,93782-96673:Garett Maag,93782-96673,WR,Garett,Garett Maag,Maag,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-90400:Jaren Hall,93782-90400,QB,Jaren,Jaren Hall,Hall,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-80546:Dan Arnold,93782-80546,TE,Dan,Dan Arnold,Arnold,1.8,,10,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-87844:Brady Russell,93782-87844,TE,Brady,Brady Russell,Russell,,,,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-72493:Trishton Jackson,93782-72493,WR,Trishton,Trishton Jackson,Jackson,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-40365:Devon Allen,93782-40365,WR,Devon,Devon Allen,Allen,,,,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-29358:Marcus Mariota,93782-29358,QB,Marcus,Marcus Mariota,Mariota,15.8123075,,13,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-103086:Jadon Haselwood,93782-103086,WR,Jadon,Jadon Haselwood,Haselwood,,,,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-185907:Zach Ojile,93782-185907,RB,Zach,Zach Ojile,Ojile,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-40371:Johnny Mundt,93782-40371,TE,Johnny,Johnny Mundt,Mundt,2.228571483,,14,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-102836:Joseph Ngata,93782-102836,WR,Joseph,Joseph Ngata,Ngata,,,,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-69303:Freddie Swain,93782-69303,WR,Freddie,Freddie Swain,Swain,3.133333206,,3,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-30272:Colin Thompson,93782-30272,TE,Colin,Colin Thompson,Thompson,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-91587:Jack Podlesny,93782-91587,K,Jack,Jack Podlesny,Podlesny,,,,5000,MIN@PHI,MIN,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-70859:Albert Okwuegbunam,93782-70859,TE,Albert,Albert Okwuegbunam,Okwuegbunam,3.416666667,,6,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,93782-69451:Jack Stoll,93782-69451,TE,Jack,Jack Stoll,Stoll,1.70909084,,11,5000,MIN@PHI,PHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
