0,1,2,3,4
93782-69531:Jalen Hurts,93782-41235:Jake Elliott,93782-71706:T.J. Hockenson,93782-72846:A.J. Brown,93782-83074:Dallas Goedert
93782-69531:Jalen Hurts,93782-63855:K.J. Osborn,93782-72846:A.J. Brown,93782-83074:Dallas Goedert,93782-90576:DeVonta Smith
93782-69531:Jalen Hurts,93782-41235:Jake Elliott,93782-63855:K.J. Osborn,93782-72846:A.J. Brown,93782-90576:DeVonta Smith
93782-69531:Jalen Hurts,93782-41235:Jake Elliott,93782-71706:T.J. Hockenson,93782-83074:Dallas Goedert,93782-90576:DeVonta Smith
93782-69531:Jalen Hurts,93782-12540:Minnesota Vikings,93782-41235:Jake Elliott,93782-72846:A.J. Brown,93782-90576:DeVonta Smith
93782-69531:Jalen Hurts,93782-129210:Jordan Addison,93782-41235:Jake Elliott,93782-72846:A.J. Brown,93782-83074:Dallas Goedert
93782-69531:Jalen Hurts,93782-41235:Jake Elliott,93782-55515:Greg Joseph,93782-72846:A.J. Brown,93782-83074:Dallas Goedert
93782-69531:Jalen Hurts,93782-12545:Philadelphia Eagles,93782-63855:K.J. Osborn,93782-72846:A.J. Brown,93782-90576:DeVonta Smith
93782-69531:Jalen Hurts,93782-12545:Philadelphia Eagles,93782-71706:T.J. Hockenson,93782-72846:A.J. Brown,93782-83074:Dallas Goedert
93782-69531:Jalen Hurts,93782-41235:Jake Elliott,93782-72776:Alexander Mattison,93782-83074:Dallas Goedert,93782-90576:DeVonta Smith
93782-69531:Jalen Hurts,93782-12545:Philadelphia Eagles,93782-41235:Jake Elliott,93782-71706:T.J. Hockenson,93782-72846:A.J. Brown
93782-69531:Jalen Hurts,93782-129210:Jordan Addison,93782-41235:Jake Elliott,93782-83074:Dallas Goedert,93782-90576:DeVonta Smith
93782-69531:Jalen Hurts,93782-12545:Philadelphia Eagles,93782-41235:Jake Elliott,93782-71706:T.J. Hockenson,93782-90576:DeVonta Smith
93782-69531:Jalen Hurts,93782-12545:Philadelphia Eagles,93782-71706:T.J. Hockenson,93782-83074:Dallas Goedert,93782-90576:DeVonta Smith
93782-69531:Jalen Hurts,93782-41235:Jake Elliott,93782-72846:A.J. Brown,93782-87371:Ty Chandler,93782-90576:DeVonta Smith
93782-69531:Jalen Hurts,93782-72846:A.J. Brown,93782-83074:Dallas Goedert,93782-87371:Ty Chandler,93782-90576:DeVonta Smith
93782-72846:A.J. Brown,93782-41235:Jake Elliott,93782-83074:Dallas Goedert,93782-85671:Justin Jefferson,93782-90576:DeVonta Smith
93782-72846:A.J. Brown,93782-22038:Kirk Cousins,93782-41235:Jake Elliott,93782-83074:Dallas Goedert,93782-90576:DeVonta Smith
93782-72846:A.J. Brown,93782-41235:Jake Elliott,93782-69531:Jalen Hurts,93782-71706:T.J. Hockenson,93782-83074:Dallas Goedert
93782-72846:A.J. Brown,93782-12545:Philadelphia Eagles,93782-22038:Kirk Cousins,93782-83074:Dallas Goedert,93782-90576:DeVonta Smith
