QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,Instructions,,,,,,,,,,,,,,,,,
93996-119606:Bryce Young,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-85672:Terrace Marshall Jr.,93996-88575:Elijah Moore,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,93996-12547:Pittsburgh Steelers,,1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
93996-119606:Bryce Young,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-88575:Elijah Moore,93996-64808:Juwan Johnson,93996-90870:Calvin Austin III,93996-12529:Cleveland Browns,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
93996-119606:Bryce Young,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-170287:Rashid Shaheed,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-64031:Hayden Hurst,93996-91426:Donovan Peoples-Jones,93996-12529:Cleveland Browns,,3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,,,,,
93996-119606:Bryce Young,93996-45631:Jamaal Williams,93996-90575:Najee Harris,93996-28573:Michael Thomas,93996-28643:Allen Robinson II,93996-87770:Chris Olave,93996-64031:Hayden Hurst,93996-88575:Elijah Moore,93996-12553:Carolina Panthers,,4) Maximum of 250 lineups per upload,,,,,,,,,,,,,,,,,
93996-119606:Bryce Young,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-110246:George Pickens,93996-28643:Allen Robinson II,93996-87770:Chris Olave,93996-64031:Hayden Hurst,93996-88575:Elijah Moore,93996-12553:Carolina Panthers,,,,,,,,,,,,,,,,,,,
93996-119606:Bryce Young,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-112192:Jonathan Mingo,93996-28573:Michael Thomas,93996-87770:Chris Olave,93996-86244:Pat Freiermuth,93996-88575:Elijah Moore,93996-12553:Carolina Panthers,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
93996-45859:Derek Carr,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-28573:Michael Thomas,93996-85672:Terrace Marshall Jr.,93996-64031:Hayden Hurst,93996-90575:Najee Harris,93996-12547:Pittsburgh Steelers,,93996-53562:Nick Chubb,93996-53562,RB,Nick,Nick Chubb,Chubb,14.69999981,1,10000,CLE@PIT,CLE,PIT,,,,,,RB/FLEX
93996-45859:Derek Carr,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-170287:Rashid Shaheed,93996-91426:Donovan Peoples-Jones,93996-55335:David Njoku,93996-90575:Najee Harris,93996-12547:Pittsburgh Steelers,,93996-87770:Chris Olave,93996-87770,WR,Chris,Chris Olave,Olave,15.19999981,1,8500,NO@CAR,NO,CAR,,,,,,WR/FLEX
93996-45859:Derek Carr,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-85672:Terrace Marshall Jr.,93996-88575:Elijah Moore,93996-91426:Donovan Peoples-Jones,93996-64031:Hayden Hurst,93996-90575:Najee Harris,93996-12529:Cleveland Browns,,93996-54879:Deshaun Watson,93996-54879,QB,Deshaun,Deshaun Watson,Watson,21.65999985,1,8300,CLE@PIT,CLE,PIT,,,,,,QB
93996-45859:Derek Carr,93996-53562:Nick Chubb,93996-71845:Miles Sanders,93996-28573:Michael Thomas,93996-88575:Elijah Moore,93996-91426:Donovan Peoples-Jones,93996-64031:Hayden Hurst,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,93996-45631:Jamaal Williams,93996-45631,RB,Jamaal,Jamaal Williams,Williams,6.199999809,1,7500,NO@CAR,NO,CAR,,,,,,RB/FLEX
